id,title,priority,status,type,lane,release,urgency_tier,readiness,hard_blockers,active_dependency_edges,acceptance_criteria_present,packet_available,description_short
polylogue-s7ae.3,Coordination messages and subtle scheduler-mediated advisories,P1,open,feature,06-agent-context-coordination,D-agent-context-coordination,T0-stop-the-line-or-P1,blocked-hard,polylogue-37t.11,relates-to:polylogue-1hj;blocks:polylogue-37t.11;relates-to:polylogue-bfv;parent-child:polylogue-s7ae,True,True,"Why: multi-agent cooperation needs lightweight communication and awareness, but not a noisy chatroom or hardcoded workflow police. Agents should be able to leave scoped messages, receive direct or relevant notices, and …"
polylogue-s7ae.5,"Live proof: two agents, separate worktrees, one repo — overlap, message, context, handoff",P1,open,task,06-agent-context-coordination,D-agent-context-coordination,T0-stop-the-line-or-P1,blocked-hard,polylogue-37t.11;polylogue-s7ae.3,blocks:polylogue-37t.11;parent-child:polylogue-s7ae;blocks:polylogue-s7ae.3,True,True,
polylogue-0v9p,Language detection and preference facts for variant selection,P1,open,feature,07-content-variants,E-content-variants,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,,parent-child:polylogue-4smp,True,True,"Why: agents should translate when useful, but the archive first needs honest language facts. Language detection is distinct from translation: it annotates source blocks/messages/sessions and informs projection defaults,…"
polylogue-4smp,Content variants: language-aware transformed archive objects with alignment,P1,open,epic,07-content-variants,E-content-variants,T0-stop-the-line-or-P1,epic-needs-child-closure,,relates-to:polylogue-37t.1;relates-to:polylogue-4p1;relates-to:polylogue-jnj.1;relates-to:polylogue-s7ae,True,True,"Why: agents should be able to translate source content, annotations, and other addressable Polylogue objects for the operator, and the reader/export/query surfaces should let the operator view and interact with those tr…"
polylogue-arso,"Content variant substrate: refs, nodes, alignment, storage",P1,open,feature,07-content-variants,E-content-variants,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,,relates-to:polylogue-37t.1;relates-to:polylogue-4p1;parent-child:polylogue-4smp,True,True,Why: translations and other transformed content need a first-class substrate over existing public refs. A target_ref=session must mean the whole declared session composition; target_ref=message must mean the whole messa…
polylogue-d4zk,"User and agent UX for creating, reviewing, and messaging about variants",P1,open,feature,07-content-variants,E-content-variants,T0-stop-the-line-or-P1,blocked-hard,polylogue-arso;polylogue-rlsb,parent-child:polylogue-4smp;relates-to:polylogue-90y;blocks:polylogue-arso;relates-to:polylogue-bby.11;relates-to:polylogue-pj8;blocks:polylogue-rlsb;relates-to:polylogue-s7ae.3,True,True,Why: the operator wants agents to translate at will and wants to view/interact with those translations. The human user should also participate in the same object-ref messaging substrate as agents: point at a block/messa…
polylogue-rlsb,"Variant-aware projection, query, and reader render profiles",P1,open,feature,07-content-variants,E-content-variants,T0-stop-the-line-or-P1,blocked-hard,polylogue-arso,relates-to:polylogue-0v9p;relates-to:polylogue-1lm;relates-to:polylogue-4p1;parent-child:polylogue-4smp;relates-to:polylogue-ap7;blocks:polylogue-arso;relates-to:polylogue-fnm.10;relates-to:polylogue-fnm.2;relates-to:polylogue-fnm.6;relates-to:polylogue-jnj.1,True,True,"Why: translated or simplified content should be selectable, readable, exported, and queried through the existing read algebra, not through bespoke translation flags or export modes. Query results and renderers must labe…"
polylogue-1xc,Scale-hardening: bugs that only bite on real-scale archives,P1,open,epic,08-scale-performance-live,B/G-storage-live-performance,T0-stop-the-line-or-P1,epic-needs-child-closure,,,True,True,Confirmed-severe set of code correct on small/clean fixtures but wrong at real scale (e.g. full insight rebuild = one transaction -> 6GB WAL + minutes-long write lock). Work the checklist on the issue; tier-1 items were…
polylogue-b5l,Blue-green index rebuilds: fresh-first without downtime,P1,open,task,08-scale-performance-live,B/G-storage-live-performance,T0-stop-the-line-or-P1,blocked-hard,polylogue-20d.15,blocks:polylogue-20d.15,True,True,"Operator re-think directive (2026-07-03): the fresh-first doctrine's CORRECTNESS half is right (no in-place migration chains, derived tiers rebuild from source) but its OPERATIONAL half is wrong — a schema bump currentl…"
polylogue-cfk,"Re-run two-arm uplift with freshness-fixed packs (n>=3 pairs, then n=12-20)",P1,open,task,10-analytics-experiments,I-analytics-experiments,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,,,True,True,"Successor to campaign polylogue-jxe, which closed diagnostic-negative: raw-ref arm 8/10 vs handoff-pack 5/10, with the loss attributed to packet staleness (pack generated before later devloop work; raw-ref arm found new…"
polylogue-3tl,"External legibility: a stranger can understand, run, and cite Polylogue",P1,open,epic,12-external-legibility-demos,L-legibility-demos,T0-stop-the-line-or-P1,epic-needs-child-closure,,,True,True,"Every finished artifact proves the substrate is honest; this program makes the project legible to someone with no context. The gap is weeks, not months (fables positioning analysis): the value exists but is illegible fr…"
polylogue-bby.11,Webui architecture v2: the stack that can carry the ambition,P1,open,feature,99-horizon-or-general,N-horizon,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,,relates-to:polylogue-4smp;parent-child:polylogue-bby;relates-to:polylogue-rlsb,True,True,"The roadmap now on the reader (mission control, timeline+firehose, replay, pinboard, day page, command palette, semantic renderers, SSE-live everything) cannot be built in JS-in-Python-strings, and shouldn't be built th…"
polylogue-27m,Excision and secret hygiene: the archive can forget on purpose,P2,open,task,00-trust-floor,A-trust-floor,T1-critical-path-correctness,blocked-hard,polylogue-b5l,blocks:polylogue-b5l;parent-child:polylogue-kwsb,True,True,"Keep-everything is doctrine; 'cannot remove that API key I pasted in 2025' is a bug in that doctrine's shadow. Two halves: (1) EXCISION — a supported, auditable operation that provably removes one specific piece of cont…"
polylogue-38x,Reconcile archived audit residue against current source,P2,open,task,00-trust-floor,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,,relates-to:polylogue-4ts;relates-to:polylogue-5hf;relates-to:polylogue-5wp;relates-to:polylogue-83u;relates-to:polylogue-da1;relates-to:polylogue-fnm;relates-to:polylogue-ivsc;relates-to:polylogue-jnj,True,True,Older archived audits under .agent/archive/conductor-history/2026-07-01 still contain valuable findings that are not all represented as executable Beads. This task is to re-check the remaining concrete findings against …
polylogue-8jg9.2,Blob-GC lease/orphan concurrency test (the acquire->commit race),P2,open,task,00-trust-floor,A-trust-floor,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,,parent-child:polylogue-8jg9,True,True,
polylogue-9e5.19,Storage-layer correctness scenario family,P2,open,task,00-trust-floor,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,,parent-child:polylogue-9e5,True,True,
polylogue-9e5.3,Column honesty audit: null/unknown density for key semantic columns,P2,open,task,00-trust-floor,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,,parent-child:polylogue-9e5,True,True,"For material_origin, tool_result_is_error/exit_code, message_type, branch_type, session_kind: null/unknown density per origin per month on the live archive. Tells you which structural fields are populated well enough to…"
polylogue-a7xr.6,"parse_archive_datetime: 6 copies, one with different tz semantics (naive/aware time bomb)",P2,open,bug,00-trust-floor,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,,parent-child:polylogue-a7xr;related:polylogue-cpf.6,True,True,"Divergence audit: identical _parse_archive_datetime copies in context/selection.py:285, mcp/archive_support.py:492, cli/read_views/standard.py:232, api/archive.py:514, archive/query/archive_execution.py:113 (naive stays…"
polylogue-cpf.4,Enforce degrade-loudly: sweep silent soft-failure paths to carry a signal,P2,open,task,00-trust-floor,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,,parent-child:polylogue-cpf,True,True,
polylogue-kwsb,Security & privacy: the archive can forget on purpose and never leaks secrets,P2,open,epic,00-trust-floor,A-trust-floor,T1-critical-path-correctness,epic-needs-child-closure,,,True,True,"WHY: a personal archive of ALL AI work is the most sensitive database on the machine — it must be able to forget on purpose (excision that provably removes bytes, not just rows) and must never leak (localhost daemon rea…"
polylogue-4be,"Restore drill: prove the backups restore, quarterly",P2,open,task,01-blob-attachment-integrity,B-storage-byte-integrity,T1-critical-path-correctness,implementation-ready-after-local-inspection,,parent-child:polylogue-8jg9,True,True,"Three backup layers exist (btrbk, polylogue-sqlite-backup, source-tier doctrine); none has ever been restore-tested. An untested backup is a hypothesis, and this one carries the entire project's irreplaceable asset."
polylogue-83u.2,Attachment byte acquisition for non-inline sources (Drive/zip/local),P2,open,feature,01-blob-attachment-integrity,B-storage-byte-integrity,T1-critical-path-correctness,implementation-ready-after-local-inspection,,parent-child:polylogue-83u,True,True,Acquire bytes where the handle is live: Drive via DriveSourceClient.download_bytes inside the iterator scope (un-bypass download_assets); export-zip member resolution while the zipfile is open; local paths via transport…
polylogue-83u.6,Attachment acquisition census by origin and byte volume,P2,open,task,01-blob-attachment-integrity,B-storage-byte-integrity,T1-critical-path-correctness,implementation-ready-after-local-inspection,,parent-child:polylogue-83u;relates-to:polylogue-83u.2;relates-to:polylogue-83u.3,True,True,Post-v13: measure acquired/unfetched/unavailable by origin and byte volume on the live archive. Quantifies how much of the metadata-only gap has actually closed and what re-acquisition would recover — the sizing input f…
polylogue-8jg9,"Operational resilience: recoverable, restorable, survives daemon death and deploy",P2,open,epic,01-blob-attachment-integrity,B-storage-byte-integrity,T1-critical-path-correctness,epic-needs-child-closure,,,True,True,"WHY: an archive whose pitch is durable evidence must itself survive incidents — daemon death mid-write, bad deploys, disk loss. Durable tiers (source.db/user.db) are irreplaceable; a restore path that has never been dri…"
polylogue-8jg9.1,Standing backlog-hygiene invariant lint (bd devloop gate),P2,open,task,01-blob-attachment-integrity,B-storage-byte-integrity,T1-critical-path-correctness,implementation-ready-after-local-inspection,,parent-child:polylogue-8jg9,True,True,Backlog structure trails filing unless an invariant lint enforces it (the 2026-07-03 session needed a 41-agent sweep to recover). The backlog equivalent of automagic-invariants: violations fail a gate instead of accumul…
polylogue-ptx,"Browser-capture posting channel: un-gate, with attachments",P2,open,feature,01-blob-attachment-integrity,B-storage-byte-integrity,T1-critical-path-correctness,implementation-ready-after-local-inspection,,parent-child:polylogue-bby,True,True,Operator decision 2026-07-03: UN-GATE. Agents may drive web chats through the posting channel (agent-private Chrome profile posture per the ambient control model). Scope for this bead: bring the parked worktree branch t…
polylogue-5hf,Provider token accounting: honest cross-provider usage ledger,P2,open,feature,02-usage-cost-honesty,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,,relates-to:polylogue-38x;parent-child:polylogue-f2qv,True,True,"Coverage, caveats, cached-vs-uncached splits, reasoning tokens, current-window + cumulative session usage. Companions: lineage-tokens (double-count), cost reconciliation probe. GH issue thread (body + comments) is input…"
polylogue-9e5.25,Review zero-use MCP surfaces from affordance usage artifact,P2,open,task,02-usage-cost-honesty,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,,parent-child:polylogue-9e5,True,True,"The current agent-affordance-usage demo classifies 59 MCP tools as zero captured agent use and non-operator surfaces. This is review input, not automatic deletion: use .agent/demos/agent-affordance-usage/surface-invento…"
polylogue-9e5.26,Review zero-use CLI surfaces from affordance usage artifact,P2,open,task,02-usage-cost-honesty,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,,parent-child:polylogue-9e5,True,True,"The current agent-affordance-usage demo classifies 34 CLI commands as zero captured agent use and non-operator surfaces. This is review input, not automatic deletion: use .agent/demos/agent-affordance-usage/surface-inve…"
polylogue-9e5.27,Speed up live affordance usage surface inventory,P2,open,task,02-usage-cost-honesty,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,,parent-child:polylogue-9e5,True,True,"After switching the default family report and inventory counts away from action-row materialization, the live .agent/demos/agent-affordance-usage regeneration still took roughly 88 seconds on the full archive. The artif…"
polylogue-f2qv,"Provider usage & cost honesty: disjoint token lanes, one pricing source, dual cost view",P2,open,epic,02-usage-cost-honesty,A-trust-floor,T1-critical-path-correctness,epic-needs-child-closure,,,True,True,WHY: token/cost accounting is a correctness surface with a track record of silent large errors (7.69x Codex inflation; per-model partition double-count #2472) — and cost numbers are exactly what operators quote publicly…
polylogue-f2qv.1,Per-model token rollup double-count: session totals partitioned once (#2472),P2,open,bug,02-usage-cost-honesty,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,,parent-child:polylogue-f2qv,True,True,
polylogue-f2qv.2,Codex disjoint-lane normalizer: decompose cached/uncached and reasoning/completion with a regression guard,P2,open,task,02-usage-cost-honesty,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,,parent-child:polylogue-f2qv,True,True,
polylogue-f2qv.3,Dual cost view: API-list-equivalent and subscription-credit reported separately,P2,open,feature,02-usage-cost-honesty,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,,parent-child:polylogue-f2qv,True,True,
polylogue-f2qv.4,"Single pricing source of truth: LiteLLM catalog, drop tokencost, last-path-segment match",P2,open,task,02-usage-cost-honesty,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,,parent-child:polylogue-f2qv,True,True,
polylogue-f2qv.5,Version-gate provider-usage projection so it self-heals like session_profiles,P2,open,bug,02-usage-cost-honesty,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,,parent-child:polylogue-f2qv,True,True,
polylogue-ivsc,Classify Codex state_5 token drift outside lineage replay,P2,open,task,02-usage-cost-honesty,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,,parent-child:polylogue-f2qv,True,True,"After logical-session high-water token accounting, the live Codex reconciliation probe still shows 78 logical outside-tolerance threads. New residual classification shows 62/78 have zero replay gap and all sampled resid…"
polylogue-xy95,Speed up provider usage full stale diagnostics,P2,open,bug,02-usage-cost-honesty,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,,parent-child:polylogue-f2qv,True,True,"During polylogue-4ts.2, polylogue analyze usage --origin codex-session --detail full --limit 20 --format json entered D-state and had to be terminated. A targeted SQL audit over the same archive completed in about 30s a…"
polylogue-4ts.3,Distinguish subagent auto-compaction from main-session acompact,P2,open,bug,03-lineage-compaction-truth,F-lineage-compaction,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,,parent-child:polylogue-4ts,True,True,agent-acompact-* also fires for Task-subagent self-compaction (~39/187 files <90% overlap; 9 at 0%) — parser assigns wrong parent; composition prepends the wrong transcript. Test prefix content/UUID membership before as…
polylogue-4ts.4,Wrap lineage composition reads in a single read transaction,P2,open,bug,03-lineage-compaction-truth,F-lineage-compaction,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,,parent-child:polylogue-4ts,True,True,Composition uses multiple autocommit SELECTs; a concurrent parent re-ingest between reads yields a torn transcript. Hold one deferred read transaction across the recursion (pattern: fts_invariant_snapshot_sync). GH issu…
polylogue-4ts.5,Compaction boundary-range columns + effective-context derivation,P2,open,feature,03-lineage-compaction-truth,F-lineage-compaction,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,,parent-child:polylogue-4ts,True,True,"session_events boundary_start/end_position + boundary_message_id; get_effective_context(session, at_position) = what the model actually saw vs the full composed prefix. Schema bump + re-ingest. Surfaces: view=effective_…"
polylogue-4ts.6,Lineage composition silently truncates transcripts; surface a completeness signal,P2,open,bug,03-lineage-compaction-truth,F-lineage-compaction,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,,parent-child:polylogue-4ts;relates-to:polylogue-cpf.4,True,True,
polylogue-gjg,"Compaction lifecycle: pre-compaction snapshot, loss forensics, post-compaction re-grounding",P2,open,epic,03-lineage-compaction-truth,F-lineage-compaction,T2-foundation-before-feature-proof,blocked-hard,polylogue-4ts.5;polylogue-d1y,blocks:polylogue-4ts.5;blocks:polylogue-d1y,True,True,"Compaction is where the OS-like context-management vision meets the harness's own memory management, and today Polylogue only observes its AFTERMATH (acompact lineage edges, v12). Three gaps: nothing snapshots the full …"
polylogue-gjg.1,compaction_events + compaction_loss_items derived tables; identity survives rebuild + re-ingest,P2,open,task,03-lineage-compaction-truth,F-lineage-compaction,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,,parent-child:polylogue-gjg,True,True,"Promote compaction from a session_events count + lineage edge to an archived object. New index.db tables: compaction_events (boundary message pointers, lineage link fields, trigger/pre_tokens/preserved_segment from the …"
polylogue-gjg.2,"Pre-compaction snapshot capture: hook payload when available, manifest-of-refs otherwise, honesty ladder always",P2,open,task,03-lineage-compaction-truth,F-lineage-compaction,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,,parent-child:polylogue-gjg,True,True,"Two-level snapshotting with snapshot_source as a FIRST-CLASS honesty axis, not a footnote: precompact-hook (strongest — the actual assembled context payload, blob-stored content-addressed, claim: this WAS model context)…"
polylogue-gjg.3,Deterministic loss-forensics: 4-tier structural diff + lost-but-later-needed ranking,P2,open,task,03-lineage-compaction-truth,F-lineage-compaction,T2-foundation-before-feature-proof,blocked-hard,polylogue-gjg.1;polylogue-gjg.2,parent-child:polylogue-gjg;blocks:polylogue-gjg.1;blocks:polylogue-gjg.2;related:polylogue-svfj,True,True,The base retained/lost/transformed classifier is deterministic and structural — NO LLM in the base pass (LLM annotation may layer later as separate judgment rows). Four item tiers with canonical keys: file-path (normali…
polylogue-h6r,Agent identity: a stable who-did-this tuple for every session,P2,open,task,03-lineage-compaction-truth,F-lineage-compaction,T2-foundation-before-feature-proof,blocked-hard,polylogue-7aw,blocks:polylogue-7aw,True,True,"Half the analytics tower assumes 'per agent' partitions the schema cannot express: a model name is not an agent — the same model under different CLAUDE.md versions, skills, or MCP profiles is behaviorally a different wo…"
polylogue-1lm,Composable transcript views: selector x transform x budget algebra,P2,open,task,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,blocked-hard,polylogue-jnj.1,blocks:polylogue-jnj.1,True,True,"'Prose-only' is one point in a space the operator keeps requesting by example: user messages plus directly-adjacent agent replies (raw-log 07-02 — what the agent intended to report, minus the toil); tool outputs truncat…"
polylogue-4p1,Decision: one read algebra — Query x Projection x Render as the only read contract,P2,open,task,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,,,True,True,"The read side has N surfaces multiplying independently: CLI verbs with per-view flags, analyze boolean modes, MCP tools (~61 read tools, many being named parameterizations of the same underlying read), web routes, read-…"
polylogue-4p1.1,Route daemon split-archive fast path through SessionQuerySpec.from_params,P2,open,task,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,,parent-child:polylogue-4p1,True,True,
polylogue-ap7,"Semantic transcript rendering: tool-call-aware, provider-agnostic, shared CLI/web renderer registry",P2,open,task,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,,parent-child:polylogue-fnm,True,True,"Transcripts render today as generic message/block sequences — the same flat treatment for a prose paragraph, a 400-line Bash result, an Edit diff, and a Task dispatch. The archive KNOWS what these are (typed blocks, too…"
polylogue-fnm,Query DSL: one grammar owns query semantics; compose instead of multiplying verbs,P2,open,epic,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,epic-needs-child-closure,,relates-to:polylogue-38x,True,True,"The Lark grammar in polylogue/archive/query/expression.py is THE query language; extend in place. Landed since the GH issue: with-projection for all units, field selection for attached units, projection-unit completions…"
polylogue-fnm.1,Aggregates beyond count (sum/avg/min/max/percentiles),P2,open,feature,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,blocked-hard,polylogue-fnm.11,parent-child:polylogue-fnm;blocks:polylogue-fnm.11,True,True,`group by X | count` is the only aggregate; cost/duration/token questions need sum/avg/percentiles to compose instead of spawning bespoke analyze modes.
