order,id,title,priority,type,status,lane,release,urgency_tier,readiness,prework_depth,hard_blockers,packet_file
14,polylogue-f2qv.4,"Single pricing source of truth: LiteLLM catalog, drop tokencost, last-path-segment match",P2,task,open,02-usage-cost-honesty,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/014_polylogue_f2qv_4.md
15,polylogue-f2qv.3,Dual cost view: API-list-equivalent and subscription-credit reported separately,P2,feature,open,02-usage-cost-honesty,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/015_polylogue_f2qv_3.md
16,polylogue-f2qv.5,Version-gate provider-usage projection so it self-heals like session_profiles,P2,bug,open,02-usage-cost-honesty,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,source-localized,,task_packets/016_polylogue_f2qv_5.md
17,polylogue-5hf,Provider token accounting: honest cross-provider usage ledger,P2,feature,open,02-usage-cost-honesty,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/017_polylogue_5hf.md
18,polylogue-ivsc,Classify Codex state_5 token drift outside lineage replay,P2,task,open,02-usage-cost-honesty,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/018_polylogue_ivsc.md
19,polylogue-xy95,Speed up provider usage full stale diagnostics,P2,bug,open,02-usage-cost-honesty,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/019_polylogue_xy95.md
20,polylogue-20d.4,CLI structured-query routing parity with daemon (#1860): no FTS gate for non-FTS queries,P2,bug,open,08-scale-performance-live,B/G-storage-live-performance,T1-critical-path-correctness,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/020_polylogue_20d_4.md
21,polylogue-1xc.12,FTS drift gauges + metamorphic coherence tests; rowid-reuse requires block_id check,P2,bug,open,08-scale-performance-live,B/G-storage-live-performance,T1-critical-path-correctness,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/021_polylogue_1xc_12.md
22,polylogue-a7xr.1,Sweep remaining sqlite3 connection leaks: 'with sqlite3.connect()' commits but never closes,P2,bug,open,08-scale-performance-live,B/G-storage-live-performance,T1-critical-path-correctness,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/022_polylogue_a7xr_1.md
23,polylogue-a7xr.2,Converger and repair disagree on session_profile staleness for NULL-sort-key sessions,P2,bug,open,08-scale-performance-live,B/G-storage-live-performance,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/023_polylogue_a7xr_2.md
24,polylogue-a7xr.3,message_type_backfill reconstructs prose unordered and unfiltered; message-prose SQL exists 5x,P2,bug,open,08-scale-performance-live,B/G-storage-live-performance,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/024_polylogue_a7xr_3.md
25,polylogue-a7xr.5,FTS trigger DDL declared twice: archive_tiers/index.py vs fts_lifecycle repair copies,P2,task,open,08-scale-performance-live,B/G-storage-live-performance,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/025_polylogue_a7xr_5.md
26,polylogue-a7xr.6,"parse_archive_datetime: 6 copies, one with different tz semantics (naive/aware time bomb)",P2,bug,open,00-trust-floor,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/026_polylogue_a7xr_6.md
27,polylogue-9e5.3,Column honesty audit: null/unknown density for key semantic columns,P2,task,open,00-trust-floor,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/027_polylogue_9e5_3.md
28,polylogue-9e5.4,Get->modify->put race audit across daemon/CLI/MCP writers,P2,task,open,06-agent-context-coordination,D-agent-context-coordination,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/028_polylogue_9e5_4.md
29,polylogue-9e5.19,Storage-layer correctness scenario family,P2,task,open,00-trust-floor,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/029_polylogue_9e5_19.md
30,polylogue-cpf.4,Enforce degrade-loudly: sweep silent soft-failure paths to carry a signal,P2,task,open,00-trust-floor,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/030_polylogue_cpf_4.md
31,polylogue-b0b,Replace remaining keyword outcome/pathology heuristics with structural evidence,P2,task,open,10-analytics-experiments,I-analytics-experiments,T2-foundation-before-feature-proof,blocked-hard,anchored-contract-prework,polylogue-9e5.3;polylogue-9e5.9,task_packets/031_polylogue_b0b.md
32,polylogue-b0b.1,Fix substring false-positives in work-event keyword classifier + inventory activity-type label as heuristic-tier,P2,task,open,10-analytics-experiments,I-analytics-experiments,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/032_polylogue_b0b_1.md
33,polylogue-4be,"Restore drill: prove the backups restore, quarterly",P2,task,open,01-blob-attachment-integrity,B-storage-byte-integrity,T1-critical-path-correctness,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/033_polylogue_4be.md
34,polylogue-peo,Daemon death leaves no trace: crash forensics + heartbeat sentinel + restart policy,P2,bug,open,08-scale-performance-live,B/G-storage-live-performance,T1-critical-path-correctness,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/034_polylogue_peo.md
35,polylogue-83u.3,Preserve uploaded attachment bytes in live browser capture,P1,feature,open,01-blob-attachment-integrity,B-storage-byte-integrity,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/035_polylogue_83u_3.md
36,polylogue-83u.2,Attachment byte acquisition for non-inline sources (Drive/zip/local),P2,feature,open,01-blob-attachment-integrity,B-storage-byte-integrity,T1-critical-path-correctness,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/036_polylogue_83u_2.md
37,polylogue-83u.6,Attachment acquisition census by origin and byte volume,P2,task,open,01-blob-attachment-integrity,B-storage-byte-integrity,T1-critical-path-correctness,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/037_polylogue_83u_6.md
38,polylogue-ptx,"Browser-capture posting channel: un-gate, with attachments",P2,feature,open,01-blob-attachment-integrity,B-storage-byte-integrity,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/038_polylogue_ptx.md
39,polylogue-4p1,Decision: one read algebra — Query x Projection x Render as the only read contract,P2,task,open,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/039_polylogue_4p1.md
40,polylogue-4p1.1,Route daemon split-archive fast path through SessionQuerySpec.from_params,P2,task,open,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/040_polylogue_4p1_1.md
41,polylogue-t46.3,"Unify list/search query-spec->ArchiveStore execution across CLI, MCP, and daemon web",P2,task,open,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/041_polylogue_t46_3.md
42,polylogue-t46.4,Delegate daemon session-similarity KNN to SqliteVecProvider.query_by_session,P2,task,open,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/042_polylogue_t46_4.md
43,polylogue-t46.5,Route CLI transcript/dialogue file export through substrate read+render; delete streaming_markdown SQL path,P2,task,open,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/043_polylogue_t46_5.md
44,polylogue-t46.6,Fix referenced_path OR-vs-AND filter divergence and delete dead CLI stats aggregators,P2,task,open,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/044_polylogue_t46_6.md
45,polylogue-t46.8,MCP surface collapse: ~96 tools -> verb algebra (query/get/explain/context/assert/maintenance...),P2,task,open,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/045_polylogue_t46_8.md
46,polylogue-jnj.1,Collapse read per-view flags into ProjectionSpec/RenderSpec algebra,P2,task,open,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/046_polylogue_jnj_1.md
47,polylogue-jnj.5,Route ops reset --session/--source through the mutation contract,P2,bug,open,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/047_polylogue_jnj_5.md
48,polylogue-x7d,Unify root query row rendering contracts,P2,task,open,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/048_polylogue_x7d.md
49,polylogue-fnm.11,Pipeline/clause parity across units + generated support matrix,P2,task,open,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/049_polylogue_fnm_11.md
50,polylogue-fnm.1,Aggregates beyond count (sum/avg/min/max/percentiles),P2,feature,open,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,blocked-hard,bead-localized-from-export,polylogue-fnm.11,task_packets/050_polylogue_fnm_1.md
51,polylogue-fnm.10,fields/select stage with parent-field projection (first real Transform),P2,feature,open,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/051_polylogue_fnm_10.md
52,polylogue-fnm.13,Set-algebra over query results: union/intersect/except between queries,P2,feature,open,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/052_polylogue_fnm_13.md
53,polylogue-svfj,Block content-hash citation anchors: blocks.content_hash + resolver with typed drift states,P2,task,open,05-analysis-provenance-citations,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/053_polylogue_svfj.md
54,polylogue-rxdo.1,"ObjectRef expansion: query, query-run, result-set, finding, cohort, analysis, annotation-batch kinds",P2,task,open,05-analysis-provenance-citations,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/054_polylogue_rxdo_1.md
55,polylogue-rxdo.2,Content-addressed query identity + durable user.db queries/query_names/result_sets/query_edges,P2,task,open,05-analysis-provenance-citations,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/055_polylogue_rxdo_2.md
56,polylogue-rxdo.3,Query-run + result-relation telemetry in ops.db; refs on every query envelope,P2,task,open,05-analysis-provenance-citations,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/056_polylogue_rxdo_3.md
57,polylogue-rxdo.4,"AssertionKind.FINDING: claims with evidence, reusing the candidate->judge lifecycle verbatim",P2,task,open,05-analysis-provenance-citations,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/057_polylogue_rxdo_4.md
58,polylogue-rxdo.7,"Annotation substrate: schema registry, annotation batches, JSONL import surface, typed value predicates",P2,task,open,05-analysis-provenance-citations,C-read-contract,T1-critical-path-correctness,blocked-hard,bead-localized-from-export,polylogue-37t.15;polylogue-rxdo.1,task_packets/058_polylogue_rxdo_7.md
59,polylogue-bby.15,Evidence basket -> citable report -> verified export (cockpit core loop),P2,task,open,05-analysis-provenance-citations,C-read-contract,T1-critical-path-correctness,blocked-hard,bead-localized-from-export,polylogue-svfj,task_packets/059_polylogue_bby_15.md
60,polylogue-3tl.16,Public claims ledger: every README/launch claim carries a status and an evidence ref,P2,task,open,05-analysis-provenance-citations,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/060_polylogue_3tl_16.md
61,polylogue-37t.12,Judgment queue: operator bulk review/accept/reject of candidate assertions,P2,feature,open,06-agent-context-coordination,D-agent-context-coordination,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/061_polylogue_37t_12.md
62,polylogue-37t.11,Context scheduler: one arbiter for everything that enters an agent's context,P1,feature,open,06-agent-context-coordination,D-agent-context-coordination,T0-stop-the-line-or-P1,blocked-hard,bead-localized-from-export,polylogue-37t.12;polylogue-37t.15,task_packets/062_polylogue_37t_11.md
63,polylogue-d1y,polylogue hooks install: one-command harness wiring + hook liveness monitoring,P1,feature,open,06-agent-context-coordination,D-agent-context-coordination,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/063_polylogue_d1y.md
64,polylogue-pj8,Agent query cookbook: MCP prompts + skill recipes as the discoverability layer,P1,feature,open,06-agent-context-coordination,D-agent-context-coordination,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/064_polylogue_pj8.md
65,polylogue-s7ae.2,Pre-deployment MCP and hook coordination batch,P1,task,open,06-agent-context-coordination,D-agent-context-coordination,T0-stop-the-line-or-P1,blocked-hard,bead-localized-from-export,polylogue-pj8,task_packets/065_polylogue_s7ae_2.md
66,polylogue-s7ae.3,Coordination messages and subtle scheduler-mediated advisories,P1,feature,open,06-agent-context-coordination,D-agent-context-coordination,T0-stop-the-line-or-P1,blocked-hard,bead-localized-from-export,polylogue-37t.11,task_packets/066_polylogue_s7ae_3.md
67,polylogue-s7ae.5,"Live proof: two agents, separate worktrees, one repo — overlap, message, context, handoff",P1,task,open,06-agent-context-coordination,D-agent-context-coordination,T0-stop-the-line-or-P1,blocked-hard,anchored-contract-prework,polylogue-37t.11;polylogue-s7ae.3,task_packets/067_polylogue_s7ae_5.md
68,polylogue-ahqd,Observe MCP write adoption after role rollout,P1,task,open,06-agent-context-coordination,D-agent-context-coordination,T0-stop-the-line-or-P1,blocked-hard,bead-localized-from-export,polylogue-s7ae.2,task_packets/068_polylogue_ahqd.md
69,polylogue-3gd,Activation layer: the agent-side setup that makes the substrate get used at all,P1,feature,open,06-agent-context-coordination,D-agent-context-coordination,T0-stop-the-line-or-P1,blocked-hard,bead-localized-from-export,polylogue-d1y;polylogue-pj8,task_packets/069_polylogue_3gd.md
70,polylogue-t8t,"Agent workflow catalog: walk the seven core flows end-to-end, fix what breaks",P2,task,open,06-agent-context-coordination,D-agent-context-coordination,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/070_polylogue_t8t.md
71,polylogue-rii.1,Agent work-event write-leg -> session_events -> materialized read-models,P2,feature,open,06-agent-context-coordination,D-agent-context-coordination,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/071_polylogue_rii_1.md
72,polylogue-rii.2,Materialize hook events + OTLP spans into queryable evidence,P2,feature,open,06-agent-context-coordination,D-agent-context-coordination,T2-foundation-before-feature-proof,blocked-hard,bead-localized-from-export,polylogue-rii.1,task_packets/072_polylogue_rii_2.md
73,polylogue-x4s,Express devloop state in Polylogue substrate (dogfood target),P2,task,open,06-agent-context-coordination,D-agent-context-coordination,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/073_polylogue_x4s.md
74,polylogue-4c0,Beads-native work loop: session<->bead cross-links and archive-rendered work history,P2,task,open,06-agent-context-coordination,D-agent-context-coordination,T2-foundation-before-feature-proof,blocked-hard,bead-localized-from-export,polylogue-7fj,task_packets/074_polylogue_4c0.md
75,polylogue-0v9p,Language detection and preference facts for variant selection,P1,feature,open,07-content-variants,E-content-variants,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/075_polylogue_0v9p.md
76,polylogue-arso,"Content variant substrate: refs, nodes, alignment, storage",P1,feature,open,07-content-variants,E-content-variants,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/076_polylogue_arso.md
77,polylogue-rlsb,"Variant-aware projection, query, and reader render profiles",P1,feature,open,07-content-variants,E-content-variants,T0-stop-the-line-or-P1,blocked-hard,bead-localized-from-export,polylogue-arso,task_packets/077_polylogue_rlsb.md
78,polylogue-d4zk,"User and agent UX for creating, reviewing, and messaging about variants",P1,feature,open,07-content-variants,E-content-variants,T0-stop-the-line-or-P1,blocked-hard,bead-localized-from-export,polylogue-arso;polylogue-rlsb,task_packets/078_polylogue_d4zk.md
79,polylogue-4smp,Content variants: language-aware transformed archive objects with alignment,P1,epic,open,07-content-variants,E-content-variants,T0-stop-the-line-or-P1,epic-needs-child-closure,epic-checklist,,task_packets/079_polylogue_4smp.md
80,polylogue-4ts.3,Distinguish subagent auto-compaction from main-session acompact,P2,bug,open,03-lineage-compaction-truth,F-lineage-compaction,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/080_polylogue_4ts_3.md
81,polylogue-4ts.4,Wrap lineage composition reads in a single read transaction,P2,bug,open,03-lineage-compaction-truth,F-lineage-compaction,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/081_polylogue_4ts_4.md
82,polylogue-4ts.5,Compaction boundary-range columns + effective-context derivation,P2,feature,open,03-lineage-compaction-truth,F-lineage-compaction,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/082_polylogue_4ts_5.md
83,polylogue-4ts.6,Lineage composition silently truncates transcripts; surface a completeness signal,P2,bug,open,03-lineage-compaction-truth,F-lineage-compaction,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/083_polylogue_4ts_6.md
84,polylogue-gjg.1,compaction_events + compaction_loss_items derived tables; identity survives rebuild + re-ingest,P2,task,open,03-lineage-compaction-truth,F-lineage-compaction,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/084_polylogue_gjg_1.md
85,polylogue-gjg.2,"Pre-compaction snapshot capture: hook payload when available, manifest-of-refs otherwise, honesty ladder always",P2,task,open,03-lineage-compaction-truth,F-lineage-compaction,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/085_polylogue_gjg_2.md
86,polylogue-gjg.3,Deterministic loss-forensics: 4-tier structural diff + lost-but-later-needed ranking,P2,task,open,03-lineage-compaction-truth,F-lineage-compaction,T2-foundation-before-feature-proof,blocked-hard,bead-localized-from-export,polylogue-gjg.1;polylogue-gjg.2,task_packets/086_polylogue_gjg_3.md
87,polylogue-h6r,Agent identity: a stable who-did-this tuple for every session,P2,task,open,03-lineage-compaction-truth,F-lineage-compaction,T2-foundation-before-feature-proof,blocked-hard,bead-localized-from-export,polylogue-7aw,task_packets/087_polylogue_h6r.md
88,polylogue-b5l,Blue-green index rebuilds: fresh-first without downtime,P1,task,open,08-scale-performance-live,B/G-storage-live-performance,T0-stop-the-line-or-P1,blocked-hard,anchored-contract-prework,polylogue-20d.15,task_packets/088_polylogue_b5l.md
89,polylogue-1xc.8,Schema rebuild-safety scenario,P2,task,open,08-scale-performance-live,B/G-storage-live-performance,T1-critical-path-correctness,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/089_polylogue_1xc_8.md
90,polylogue-20d.15,"Bulk ingest throughput + resource envelope: parallel parse, batched writes, bounded RSS/IO",P2,task,open,08-scale-performance-live,B/G-storage-live-performance,T1-critical-path-correctness,blocked-hard,bead-localized-from-export,polylogue-20d.14,task_packets/090_polylogue_20d_15.md
91,polylogue-20d.14,"Interactive SLO tier: named latency budgets, continuously measured, regression-gated",P2,task,open,08-scale-performance-live,B/G-storage-live-performance,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/091_polylogue_20d_14.md
92,polylogue-20d.12,"Daemon result cache + post-ingest warming: precomputed answers, cursor-keyed invalidation",P2,feature,open,08-scale-performance-live,B/G-storage-live-performance,T1-critical-path-correctness,blocked-hard,bead-localized-from-export,polylogue-20d.1,task_packets/092_polylogue_20d_12.md
93,polylogue-20d.13,Daemon push channel: SSE events for live UIs instead of polling,P2,feature,open,08-scale-performance-live,B/G-storage-live-performance,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/093_polylogue_20d_13.md
94,polylogue-20d.6,Live full-ingest catch-up latency + WAL shape,P2,task,open,08-scale-performance-live,B/G-storage-live-performance,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/094_polylogue_20d_6.md
95,polylogue-20d.5,"Finish streaming reads: composed transcripts, messages --full writer, origin-filtered pagination SQL",P2,task,open,08-scale-performance-live,B/G-storage-live-performance,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/095_polylogue_20d_5.md
96,polylogue-20d.2,Defer heavy imports off the CLI startup path,P2,task,open,08-scale-performance-live,B/G-storage-live-performance,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/096_polylogue_20d_2.md
97,polylogue-20d.1,CLI->daemon fast path over UDS (persistent hot process),P2,feature,open,08-scale-performance-live,B/G-storage-live-performance,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/097_polylogue_20d_1.md
98,polylogue-20d.10,Runtime post-filter efficiency: memoize semantic facts; lower matchers onto the actions view,P2,task,open,08-scale-performance-live,B/G-storage-live-performance,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/098_polylogue_20d_10.md
99,polylogue-2qx,"OriginSpec: one package per origin, dispatch order derived from declared strictness",P2,feature,open,11-interoperability-origin,K-interop-origin,T2-foundation-before-feature-proof,blocked-hard,anchored-contract-prework,polylogue-o21,task_packets/099_polylogue_2qx.md
100,polylogue-o21,"Extension-point ergonomics: declare-once registries, scaffolds, actionable completeness errors",P2,feature,open,11-interoperability-origin,K-interop-origin,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/100_polylogue_o21.md
101,polylogue-da1,Provider format-drift sentinel: detect upstream export-shape changes from live ingest,P2,feature,open,11-interoperability-origin,K-interop-origin,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/101_polylogue_da1.md
102,polylogue-7aw,"Ingest agent configuration as a source family (skills, CLAUDE.md, hooks)",P2,feature,open,11-interoperability-origin,K-interop-origin,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/102_polylogue_7aw.md
103,polylogue-ox0,Codex deep integration: state DBs as authoritative source + AppServer live lane,P2,task,open,11-interoperability-origin,K-interop-origin,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/103_polylogue_ox0.md
104,polylogue-t0p,"Capture the rest of Claude Code: todos, file-history, prompt history, debug artifacts",P2,task,open,11-interoperability-origin,K-interop-origin,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/104_polylogue_t0p.md
105,polylogue-fs1.4,Report: polylogue forensics for Hermes sessions,P2,feature,open,11-interoperability-origin,K-interop-origin,T2-foundation-before-feature-proof,needs-acceptance-criteria,bead-localized-from-export,,task_packets/105_polylogue_fs1_4.md
106,polylogue-mhx.1,"Provider abstraction: one OpenAI-compatible embedding client, local and cloud, model registry in meta",P2,feature,open,09-embeddings-retrieval,J-embeddings-retrieval,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/106_polylogue_mhx_1.md
107,polylogue-mhx.2,"Embedding target policy: what gets a vector, at what granularity, at what cost",P2,feature,open,09-embeddings-retrieval,J-embeddings-retrieval,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/107_polylogue_mhx_2.md
108,polylogue-mhx.3,Retrieval quality eval lane: measure FTS vs vector vs hybrid before believing any of them,P2,task,open,09-embeddings-retrieval,J-embeddings-retrieval,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/108_polylogue_mhx_3.md
109,polylogue-mhx.4,Semantic recall leg in context compilation: the memory actually retrieves,P2,feature,open,09-embeddings-retrieval,J-embeddings-retrieval,T2-foundation-before-feature-proof,blocked-hard,bead-localized-from-export,polylogue-mhx.2,task_packets/109_polylogue_mhx_4.md
