group,path,line,note
attachments,polylogue/storage/blob_store.py,,Byte storage API and hash validation live here.
bluegreen,CONTRIBUTING.md,102,Derived-tier schema changes require rebuild/blue-green planning.
bluegreen,AGENTS.md,168,Agent guidance says schema mismatch should rebuild or blue-green-replace derived tiers.
bluegreen,polylogue/cli/commands/reset.py,,Current reset/rebuild commands are the operator path to replace derived tiers.
bluegreen,polylogue/daemon/convergence_stages.py,,Daemon convergence/readiness state should represent generation progress honestly.
sources,polylogue/sources/dispatch.py,,Current origin/source dispatch logic; target for OriginSpec consolidation.
sources,polylogue/sources/import_preflight.py,,Preflight/readiness should report origin strictness and ambiguity.
sources,polylogue/sources/provider_completeness.py,,Provider completeness is adjacent to OriginSpec readiness.
sources,polylogue/sources/parsers/base.py,,Parser base contracts should be folded into OriginSpec.
embeddings,polylogue/api/embeddings.py,,Public embedding API seam.
embeddings,polylogue/cli/commands/embed.py,,Operator embedding command and dry-run planner hooks.
embeddings,polylogue/archive/query/retrieval.py,,Retrieval composition seam for FTS/vector/hybrid.
embeddings,polylogue/archive/query/retrieval_search.py,,Search/retrieval runtime implementation.
web,polylogue/daemon/http.py,,Current web/daemon API surface.
web,polylogue/daemon/web_shell_workspace.py,,Current HTML/JS workbench shell; v2 should reduce inline state sprawl.
web,polylogue/daemon/web_assets.py,,Static asset ownership and generated-client integration point.
analytics,polylogue/archive/actions/followup.py,,Action/followup classification is a real structural analytics input.
analytics,polylogue/archive/actions/fields.py,,Action fields determine what can be measured without prose heuristics.
analytics,polylogue/insights/registry.py,294,Insight registry should become measure/product registry input.
analytics,scripts/agent_forensics.py,,Existing forensics script is a proof artifact and candidate product surface.
docs,README.md,,Public claims should be grounded through the claims ledger.
docs,docs/agent-forensics.md,,Existing forensics docs are a pattern for proof artifacts.
docs,docs/demo.md,,Demo docs should depend on evidence/citation machinery.
