id,priority,snapshot_status,effective_status,issue_type,title,assignee,source_areas,parent,authority_class,authority_claim,acceptance_semantics,hard_prerequisites,soft_relations,supersedes,explicit_paths,source_presence,stale_description_signal,write_hotspot_cluster,audit_disposition,updated_at,effective_updated_at,labels
polylogue-z9gh.2,0,open,open,bug,Eliminate archive-wide materialization in action and delegation queries,,delegation;perf;query,polylogue-z9gh.9,consolidation-owner,Broad aggregate queries remain exact and bounded by the shared query transaction; per-session materialization does not introduce a hidden row cap or N-plus-one hydration.,live-evidence;bounded-resource;cancellation/cleanup;determinism/idempotency;restart/crash;mutation/falsification;schema/contract,,polylogue-20d.7;polylogue-j2zz,polylogue-20d.10,polylogue/storage/sqlite/archive_tiers/index.py,both=1,records-residual-work,delegation,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T20:45:30Z,2026-07-15T20:45:30Z,area:delegation;area:perf;area:query;horizon:frontier;incident:memory
polylogue-z9gh.3,0,open,open,feature,Generate agent query discovery from executable query declarations,,mcp;orchestration;query;search,polylogue-z9gh,canonical-authority-owner,"One query declaration registry generates MCP schemas/descriptions, a searchable capability/coverage catalog resource, typed structured-plan input, DSL completions/help, OpenAPI/docs, compact projections, valid-value errors, and curated intent recipes.",live-evidence;bounded-resource;parity/completeness;restart/crash;security/authorization;mutation/falsification;schema/contract;operator-gate,,polylogue-o21;polylogue-o21.1;polylogue-t46.8;polylogue-z9gh.9.1,,polylogue/mcp/server_prompts.py,both=1,records-landed-work,query-declarations,retain query-semantics owner; hard-block on o21.1 kernel,2026-07-16T12:56:53Z,2026-07-16T12:56:53Z,area:mcp;area:orchestration;area:query;area:search;horizon:frontier
polylogue-z9gh.7,0,open,open,task,Prove mandate recovery through real agent continuity replays,,mandate;mcp;verification,polylogue-z9gh,proof/verification-slice,Superseded incident Beads remain fixture/evidence inputs but are not dependencies.,live-evidence;receipt/provenance;bounded-resource;cancellation/cleanup;security/authorization;mutation/falsification;schema/contract;regression-fixture,polylogue-1vpm.6.2;polylogue-2qx.2;polylogue-t8t;polylogue-z9gh.3;polylogue-z9gh.9.1,polylogue-1vpm.6;polylogue-2qx,,,no-explicit-paths,records-landed-work+records-residual-work,mandate,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T18:44:19Z,2026-07-15T18:44:19Z,area:mandate;area:mcp;area:verification;horizon:frontier
polylogue-z9gh.9,0,open,open,epic,"Make every archive read a bounded, resumable query transaction",,mcp;perf;protocol;query,polylogue-z9gh,program/invariant-container,"The oversized-response cliff, lost continuation arguments, blocking SQLite event loop, uncancellable statements, global-view materialization, divergent surface totals, and hidden query refs are manifestations of one missing abstraction: Polylogue has query functions but no shared query transaction.",live-evidence;receipt/provenance;bounded-resource;cancellation/cleanup;schema/contract;regression-fixture,,polylogue-20d.14;polylogue-4p1;polylogue-rxdo.3,,,no-explicit-paths,records-landed-work,mcp,retain program container; do not execute as a leaf,2026-07-14T22:54:18Z,2026-07-14T22:54:18Z,area:mcp;area:perf;area:protocol;area:query;horizon:frontier
polylogue-z9gh.9.1,0,open,open,task,Land the shared query transaction across every read surface,,mcp;protocol;query,polylogue-z9gh.9,canonical-authority-owner,Land the shared query transaction across every read surface,live-evidence;receipt/provenance;bounded-resource;cancellation/cleanup;determinism/idempotency;restart/crash;mutation/falsification;schema/contract,polylogue-z9gh.1;polylogue-z9gh.2,polylogue-7q16;polylogue-9l5.6;polylogue-rxdo.3;polylogue-z9gh.3,polylogue-20d.5,polylogue/archive/query/transaction.py,missing/planned=1,records-landed-work+records-residual-work,query-transaction,retain transaction/delivery owner for remaining surface migration/disconnect/resume,2026-07-15T20:45:32Z,2026-07-15T20:45:32Z,area:mcp;area:protocol;area:query;horizon:frontier
polylogue-06zm,1,open,open,epic,Make browser recovery jobs durable across client identity loss,,capture,,program/invariant-container,"These are one missing abstraction: a receiver-authoritative durable job registry with stable job identity, leases, checkpoints, incident history, adoption, and retention independent of any browser profile.",receipt/provenance;bounded-resource;cancellation/cleanup;determinism/idempotency;restart/crash;security/authorization;mutation/falsification;schema/contract;operator-gate;regression-fixture,,,,polylogue/browser_capture/{models;tests/unit/browser_capture/test_backfill_checkpoint.py;tests/unit/browser_capture/,both=1;symbolic=2,records-landed-work+records-residual-work,capture,retain program container; do not execute as a leaf,2026-07-15T18:07:40Z,2026-07-15T18:07:40Z,area:capture;delivery:B-storage-rebuild-bytes;horizon:frontier
polylogue-09rn,1,open,open,bug,test_periodic_embedding_backlog_waits_for_catch_up_complete times out (>300s) on master,,daemon,polylogue-avmq,regression/repair-slice,,bounded-resource;determinism/idempotency;mutation/falsification;regression-fixture,,polylogue-88jp;polylogue-b054.1.1,,tests/unit/daemon/test_embedding_convergence_progress.py;docs/retro/2026-05-24-1498-cascade.md,both=2,records-landed-work,daemon-supervision,retain regression slice in avmq branch,2026-07-15T20:09:38Z,2026-07-15T20:09:38Z,area:daemon;horizon:frontier
polylogue-1vpm,1,open,open,epic,"Work-evidence graph: runs, delegations, episodes, claims, artifacts, effects",,substrate,,program/invariant-container,"Define a small typed work graph rather than provider tables or one universal row: node identities for task/call, attempt/run, session segment, actor/context, artifact, commit, PR, Beads issue, and verification receipt; evidence-backed edge families for spawned/resumed/retried, represented_by, produ…",receipt/provenance;schema/contract;regression-fixture,,polylogue-9l5;polylogue-9l5.1;polylogue-9l5.13;polylogue-9l5.2;polylogue-9l5.6;polylogue-rxdo,,.agent/handoffs/polylogue-gpt-pro-2026-07-07/prework-v2/task_packets/178_polylogue_1vpm.md,origin-only=1,records-residual-work,substrate,retain program container; do not execute as a leaf,2026-07-14T23:07:58Z,2026-07-14T23:07:58Z,area:substrate;delivery:I-analytics-experiments;horizon:mid;lane:analytics-experiments;tech-tree
polylogue-1vpm.6,1,open,open,epic,Land the provider-neutral work-evidence graph and reconciliation,,evidence;orchestration;substrate,polylogue-1vpm,program/invariant-container,"Workflow is a proving adapter, not a universal hierarchy; claim is not effect; effect is not evaluated satisfaction.",live-evidence;receipt/provenance;parity/completeness;security/authorization;mutation/falsification;schema/contract;regression-fixture,,polylogue-z9gh.7,,,no-explicit-paths,records-landed-work+records-residual-work,evidence,retain program container; do not execute as a leaf,2026-07-15T19:54:00Z,2026-07-15T19:54:00Z,area:evidence;area:orchestration;area:substrate;horizon:frontier
polylogue-1vpm.6.1,1,open,open,feature,Land the provider-neutral work topology and claim graph,,evidence;orchestration;substrate,polylogue-1vpm.6,domain-implementation-slice,"Define typed refs and edge families for invoked, resumed, retried, represented_by, produced/consumed/mentioned, claimed, superseded, and unresolved.",mutation/falsification;schema/contract;regression-fixture,polylogue-h6r,,,,no-explicit-paths,,evidence,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T19:19:40Z,2026-07-15T19:19:40Z,area:evidence;area:orchestration;area:substrate;horizon:frontier
polylogue-1vpm.6.2,1,open,open,feature,Reconcile work claims with observed repository effects,,beads;evidence;git;orchestration,polylogue-1vpm.6,domain-implementation-slice,"Complete the work-evidence graph by attaching authority-bearing git, GitHub, Beads, artifact, and verification observations, then evaluating whether claims are supported, partial, contradicted, unresolved, or superseded.",receipt/provenance;mutation/falsification;regression-fixture,polylogue-1vpm.6.1;polylogue-2qx.2,,,,no-explicit-paths,records-landed-work+records-residual-work,beads,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T17:45:41Z,2026-07-15T17:45:41Z,area:beads;area:evidence;area:git;area:orchestration;horizon:frontier
polylogue-1xc,1,open,open,epic,Scale-hardening: bugs that only bite on real-scale archives,,storage,,program/invariant-container,full insight rebuild = one transaction -> 6GB WAL + minutes-long write lock).,live-evidence;bounded-resource;security/authorization;regression-fixture,,polylogue-1xc.8,,.agent/handoffs/polylogue-gpt-pro-2026-07-07/prework-v2/task_packets/140_polylogue_1xc.md,origin-only=1,records-landed-work,storage,retain program container; do not execute as a leaf,2026-07-14T23:15:41Z,2026-07-14T23:15:41Z,area:storage;delivery:B-storage-rebuild-bytes;horizon:frontier;lane:storage-rebuild-scale
polylogue-1xc.12,1,open,open,bug,FTS drift gauges + metamorphic coherence tests; rowid-reuse requires block_id check,,storage,polylogue-1xc,regression/repair-slice,,bounded-resource;determinism/idempotency;security/authorization;mutation/falsification;schema/contract,,,,.agent/handoffs/polylogue-gpt-pro-2026-07-07/prework-v2/task_packets/021_polylogue_1xc_12.md,origin-only=1,,storage,retain-distinct; no duplicate/contradiction found in this pass,2026-07-16T16:19:12Z,2026-07-16T16:19:12Z,area:storage;delivery:B-storage-rebuild-bytes;horizon:frontier;lane:storage-rebuild-scale;tech-tree
polylogue-1xc.13,1,in_progress,in_progress,feature,Expose named-source freshness and excluded cursor degradation,Sinity,daemon;sources;storage,polylogue-1xc,domain-implementation-slice,"2026-07-16 GPT-Pro corpus adjudication: named-source design package 8fa6ec827281 is superseded by implementation package 17d8a28e9c6, merged as PR #2924 (b6c78adfcd666358307daf64ac97e8d695a8b854).",live-evidence;receipt/provenance;regression-fixture,,polylogue-cuxz;polylogue-lkrc;polylogue-yla8,,,no-explicit-paths,records-landed-work+records-residual-work,daemon,retain-distinct; no duplicate/contradiction found in this pass,2026-07-16T12:57:37Z,2026-07-16T12:57:37Z,area:daemon;area:sources;area:storage;delivery:A-trust-floor;delivery:B-storage-rebuild-bytes;horizon:frontier;lane:storage-rebuild-scale
polylogue-1xc.14,1,open,open,feature,Declare workload envelopes and resource receipts once,,ops;perf;verification,polylogue-1xc,domain-implementation-slice,Define one workload-envelope declaration and observation contract.,receipt/provenance;bounded-resource;cancellation/cleanup;mutation/falsification;schema/contract;operator-gate;regression-fixture,,polylogue-20d.14;polylogue-o21.1;polylogue-s8gb;polylogue-z9gh.1,,,no-explicit-paths,records-landed-work,ops,retain-distinct; no duplicate/contradiction found in this pass,2026-07-16T20:08:55Z,2026-07-16T20:08:55Z,area:ops;area:perf;area:verification;horizon:frontier
polylogue-1xc.14.1,1,in_progress,in_progress,feature,Derive archive-scale workload profiles from provider schemas,Sinity,devtools;ops;perf;sources;test;verification,polylogue-1xc.14,domain-implementation-slice,"The vague performance/throughput scenario family is superseded by this mechanism, and focused schema inference, generator, real-route canary, privacy, determinism, memory-bound, and receipt tests plus devtools verify --quick pass.",receipt/provenance;bounded-resource;cancellation/cleanup;parity/completeness;determinism/idempotency;security/authorization;mutation/falsification;schema/contract;operator-gate;regression-fixture,,,,,no-explicit-paths,records-residual-work,schema-workload-generation,retain root; serialize child slices in one branch,2026-07-16T12:50:38Z,2026-07-16T12:50:38Z,area:devtools;area:ops;area:perf;area:sources;area:test;area:verification;horizon:frontier
polylogue-1xc.14.1.1,1,in_progress,in_progress,feature,Make schema inference replayable and memory-bounded,Sinity,devtools;ops;perf;schema;sources;test;verification,polylogue-1xc.14.1,domain-implementation-slice,"Introduce one replayable bounded-observation substrate so every downstream cluster, package, schema, relationship, privacy, and workload-profile pass can consume the same evidence without retaining the corpus.",bounded-resource;cancellation/cleanup;determinism/idempotency;restart/crash;security/authorization;schema/contract;operator-gate;regression-fixture,,,,.agent/scratch/2026-07-17-codex-live-regeneration.md,missing/planned=1,records-landed-work+records-residual-work,schema-workload-generation,retain replay/memory/cancellation/live-receipt slice first,2026-07-17T03:06:59Z,2026-07-17T03:06:59Z,area:devtools;area:ops;area:perf;area:schema;area:sources;area:test;area:verification;horizon:frontier
polylogue-1xc.14.1.2,1,in_progress,in_progress,bug,Prevent observed content from becoming schema property names,Sinity,devtools;ops;perf;schema;security;sources;test;verification,polylogue-1xc.14.1,regression/repair-slice,,live-evidence;security/authorization;schema/contract;operator-gate;regression-fixture,,,,,no-explicit-paths,records-landed-work+records-residual-work,schema-workload-generation,retain privacy/promotion slice second,2026-07-16T18:22:42Z,2026-07-16T18:22:42Z,area:devtools;area:ops;area:perf;area:schema;area:security;area:sources;area:test;area:verification;horizon:frontier
polylogue-1xc.14.1.3,1,in_progress,in_progress,bug,Separate schema evidence families from release-version defaults,Sinity,devtools;ops;perf;schema;sources;storage;test;verification,polylogue-1xc.14.1,regression/repair-slice,,live-evidence;determinism/idempotency;mutation/falsification;schema/contract;regression-fixture,,,,,no-explicit-paths,,schema-workload-generation,retain catalog-role/default slice third,2026-07-16T14:31:31Z,2026-07-16T14:31:31Z,area:devtools;area:ops;area:perf;area:schema;area:sources;area:storage;area:test;area:verification;horizon:frontier
polylogue-20d,1,open,open,epic,Interactive performance: the front door answers in interactive time,,perf,,program/invariant-container,,live-evidence;bounded-resource;operator-gate;regression-fixture,,polylogue-d22s;polylogue-ovme,,docs/plans/slo-catalog.yaml;.agent/handoffs/polylogue-gpt-pro-2026-07-07/prework-v2/task_packets/142_polylogue_20d.md,both=1;origin-only=1,,perf,retain program container; do not execute as a leaf,2026-07-15T19:23:14Z,2026-07-15T19:23:14Z,area:perf;delivery:G-live-performance;horizon:frontier;lane:interactive-performance
polylogue-20d.17,1,open,open,bug,Serve every status surface from budgeted component snapshots,,daemon;ops;perf,polylogue-20d,canonical-authority-owner,Define one StatusComponentSpec and StatusSnapshot protocol reused by daemon/archive and agent-coordination status.,live-evidence;receipt/provenance;bounded-resource;cancellation/cleanup;security/authorization;mutation/falsification,,polylogue-20d.14;polylogue-cuxz;polylogue-s7ae.8,polylogue-703,,no-explicit-paths,records-landed-work+records-residual-work,status-snapshots,retain-as-canonical-owner; absorb 703 acceptance evidence,2026-07-15T20:20:00Z,2026-07-15T20:20:00Z,area:daemon;area:ops;area:perf;delivery:G-live-performance;horizon:frontier;lane:interactive-performance
polylogue-2qx,1,open,open,epic,"OriginSpec: declare source admission, fidelity, provenance, and coverage once",,sources,polylogue-l4kf,program/invariant-container,"OriginSpec is the sole executable source-admission contract and drives dispatch, completeness, coverage/readiness, generated docs/schemas, fixture discovery, public filter schemas, CLI/MCP help, completions, and vocabulary errors.",live-evidence;receipt/provenance;parity/completeness;security/authorization;mutation/falsification;schema/contract;regression-fixture,,polylogue-o21;polylogue-z9gh.7,,docs/schemas;.agent/handoffs/polylogue-gpt-pro-2026-07-07/prework-v2/task_packets/099_polylogue_2qx.md,both=1;origin-only=1,records-landed-work+records-residual-work,sources,retain program container; do not execute as a leaf,2026-07-15T19:46:20Z,2026-07-15T19:46:20Z,area:sources;delivery:K-interop-origin-export;delivery:ac-patched;horizon:frontier;lane:origin-interop-export;refactor
polylogue-2qx.1,1,open,open,epic,Land the OriginSpec kernel and migrate the current origin vocabulary,,sources;substrate,polylogue-2qx,program/invariant-container,,parity/completeness;determinism/idempotency;security/authorization;schema/contract;regression-fixture,,,,,no-explicit-paths,,sources,retain program container; do not execute as a leaf,2026-07-16T12:56:54Z,2026-07-16T12:56:54Z,area:sources;area:substrate;horizon:frontier
polylogue-2qx.1.1,1,open,open,feature,Land the OriginSpec admission kernel and conformance law,,architecture;sources;verification,polylogue-2qx.1,canonical-authority-owner,Add polylogue/sources/origin_specs.py as the sole typed Origin-domain registry over polylogue/declarations.,receipt/provenance;parity/completeness;determinism/idempotency;security/authorization;mutation/falsification;schema/contract;regression-fixture,polylogue-o21.1,,,polylogue/sources/origin_specs.py;polylogue/declarations,missing/planned=2,records-landed-work,architecture,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T20:49:20Z,2026-07-15T20:49:20Z,area:architecture;area:sources;area:verification;horizon:frontier
polylogue-2qx.1.2,1,open,open,task,Migrate every current origin onto OriginSpec,,sources;verification,polylogue-2qx.1,domain-implementation-slice,,receipt/provenance;parity/completeness;security/authorization;mutation/falsification;schema/contract;regression-fixture,polylogue-2qx.1.1,,,polylogue/sources/origin_specs.py,missing/planned=1,records-landed-work,sources,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T20:49:24Z,2026-07-15T20:49:24Z,area:sources;area:verification;horizon:frontier
polylogue-2qx.2,1,open,open,feature,Admit Claude Code orchestration artifacts through OriginSpec,,orchestration;sources,polylogue-2qx,domain-implementation-slice,,live-evidence;receipt/provenance;security/authorization;mutation/falsification;schema/contract;regression-fixture,polylogue-2qx.1.2,,,,no-explicit-paths,records-landed-work,orchestration,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T19:19:40Z,2026-07-15T19:19:40Z,area:orchestration;area:sources;horizon:frontier;origin:claude-code
polylogue-303r,1,open,open,epic,Sinex-backed evidence mode: canonical materials and rebuildable projections,,ingest;substrate,,program/invariant-container,"In Sinex-backed deployments, Sinex is the canonical durable substrate for AI-session evidence: exact provider-native artifacts and attachments, immutable Polylogue-normalized transcript materials, admitted observation/revision history, durable assertion and judgment lifecycle, context-delivery reco…",receipt/provenance;bounded-resource;parity/completeness;determinism/idempotency;restart/crash;security/authorization;schema/contract;operator-gate;regression-fixture,,,polylogue-6mv,,no-explicit-paths,records-landed-work+records-residual-work,ingest,retain program container; do not execute as a leaf,2026-07-15T19:19:39Z,2026-07-15T19:19:39Z,area:ingest;area:substrate;horizon:mid
polylogue-303r.2,1,open,open,epic,Sinex publication: drain durable obligations into confirmed evidence,,ingest;substrate,polylogue-303r,program/invariant-container,"Reuse acquisition/RawPersistenceStore, ParsedSession/content_hash, changed-session IDs, and the sole writer boundary; do not add another repository abstraction or settlement vocabulary.",receipt/provenance;bounded-resource;determinism/idempotency;restart/crash;security/authorization;mutation/falsification;operator-gate;regression-fixture,polylogue-303r.1,,polylogue-fs1.9,polylogue/sinex/;tests/unit/sinex;tests/unit/storage/test_durable_migrations.py;tests/unit/cli/test_config_command.py;docs/sinex-interop.md;docs/architecture.md;polylogue/sinex/__init__.py;tests/unit/core/test_config_inventory.py,both=7;symbolic=1,records-landed-work+records-residual-work,ingest,retain program container; do not execute as a leaf,2026-07-15T19:24:36Z,2026-07-15T19:24:36Z,area:ingest;area:substrate;horizon:mid
polylogue-303r.2.2,1,open,open,feature,Prove publication against real Sinex receipts and raw settlement,,integration;sinex;substrate,polylogue-303r.2,proof/verification-slice,,receipt/provenance;determinism/idempotency;security/authorization;mutation/falsification;schema/contract,polylogue-303r.2.1,,,,no-explicit-paths,records-residual-work,integration,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T18:24:04Z,2026-07-15T18:24:04Z,area:integration;area:sinex;area:substrate;horizon:frontier
polylogue-37t.11,1,open,open,epic,Schedule every context source through one disclosed authority boundary,,context;coordination;substrate,polylogue-37t,program/invariant-container,Schedule every context source through one disclosed authority boundary,receipt/provenance;bounded-resource;determinism/idempotency;operator-gate,,polylogue-1hj;polylogue-1jc;polylogue-37t.12;polylogue-37t.15;polylogue-3gd;polylogue-4smp;polylogue-bfv;polylogue-gjg;polylogue-mhx.4;polylogue-rvh;polylogue-s7ae,,.agent/handoffs/polylogue-gpt-pro-2026-07-07/prework-v2/task_packets/062_polylogue_37t_11.md,origin-only=1,,context,retain program container; do not execute as a leaf,2026-07-15T19:16:41Z,2026-07-15T19:16:41Z,area:context;area:coordination;area:substrate;delivery:D-agent-context-coordination;horizon:frontier;lane:agent-coordination;size:L;spine;wave:1
polylogue-37t.11.1,1,open,open,feature,"Land the ContextSource scheduler, authority firewall, and ledger",,context;security;substrate,polylogue-37t.11,canonical-authority-owner,Execution order remains canonical judgment transaction before the scheduler firewall.,receipt/provenance;bounded-resource;determinism/idempotency;security/authorization;mutation/falsification;operator-gate;regression-fixture,polylogue-37t.12;polylogue-37t.15,,,,no-explicit-paths,,context,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T19:19:41Z,2026-07-15T19:19:41Z,area:context;area:security;area:substrate;horizon:frontier
