order,wave,id,priority,type,status,parents,hard_prerequisites,title,intent,done_when
25,0,polylogue-4ts.3,2,bug,open,polylogue-4ts,,Distinguish subagent auto-compaction from main-session acompact,agent-acompact-* also fires for Task-subagent self-compaction (~39/187 files <90% overlap; 9 at 0%) — parser assigns wrong parent; composition prepends the wrong transcript.,1.
26,0,polylogue-4ts.4,2,bug,open,polylogue-4ts,,Wrap lineage composition reads in a single read transaction,Composition uses multiple autocommit SELECTs; a concurrent parent re-ingest between reads yields a torn transcript.,1.
27,0,polylogue-4ts.6,2,bug,open,polylogue-4ts,,Lineage composition silently truncates transcripts; surface a completeness signal,storage/sqlite/queries/message_query_reads.py:get_messages composes a prefix-sharing child's full logical transcript (parent prefix up to branch_point + child tail).,"get_messages / read_archive_session_envelope returns (or the envelope carries) a completeness indicator; a depth>64 chain and a dangling-branch-point session both report lineage_complete=false with a reason, and the depth-limit hit is logged."
28,0,polylogue-a7xr.1,2,bug,open,polylogue-a7xr,,Sweep remaining sqlite3 connection leaks: 'with sqlite3.connect()' commits but never closes,Python's sqlite3 Connection context manager commits/rolls back the TRANSACTION on __exit__ but does NOT close the connection — a well-known trap.,Every 'with sqlite3.connect(...)' in non-test polylogue/ either closes via contextlib.closing/try-finally or is justified; a ResourceWarning-as-error test run over the coordination-envelope and user_state_resolver hot paths shows no leaked connections.
29,0,polylogue-a7xr.2,2,bug,open,polylogue-a7xr,,Converger and repair disagree on session_profile staleness for NULL-sort-key sessions,VERIFIED LIVE 2026-07-06 (divergence audit): daemon/convergence_stages.py:829-836 and storage/repair.py:566-584 encode DIFFERENT staleness predicates for the same derived rows.,rg shows exactly one definition of the staleness predicate; a fixture with sort_key_ms NULL + source_sort_key set is classified identically by a convergence pass and an ops repair pass (regression test asserting agreement); no repair churn on a converged archive (idempotence test: repair immediately after convergence selects zero rows).
30,0,polylogue-a7xr.3,2,bug,open,polylogue-a7xr,,message_type_backfill reconstructs prose unordered and unfiltered; message-prose SQL exists 5x,"VERIFIED LIVE 2026-07-06: storage/message_type_backfill.py:54-64 claims (comment) to concatenate block text in position order, but its GROUP_CONCAT has no inner ORDER BY — SQLite GROUP_CONCAT is unordered, so the #839 classifier can receive scrambled prose.",One builder; backfill output for a multi-block fixture is position-ordered (regression test with 3+ blocks inserted out of order); block_type filter applied on the classifier path; embeddings selection output unchanged (golden).
31,0,polylogue-a7xr.6,2,bug,open,polylogue-a7xr,,"parse_archive_datetime: 6 copies, one with different tz semantics (naive/aware time bomb)","Divergence audit: identical _parse_archive_datetime copies in context/selection.py:285, mcp/archive_support.py:492, cli/read_views/standard.py:232, api/archive.py:514, archive/query/archive_execution.py:113 (naive stays naive; empty string raises) vs a DIVERGENT copy in storage/insights/session/rebuild.py:763 (empty->None; naive FORCED to UTC).",One definition each; all six+five sites import core/timestamps; a test asserts the parsed value is ALWAYS tz-aware UTC; no naive-vs-aware comparison remains reachable (grep + focused tests).
32,0,polylogue-f2qv.1,2,bug,open,polylogue-f2qv,,Per-model token rollup double-count: session totals partitioned once (#2472),PROBLEM.,"On a synthetic two-model session, per-model rollups partition the session total exactly (sum of per-model == session total, no model row holds the full total); a regression test locks this."
33,0,polylogue-f2qv.5,2,bug,open,polylogue-f2qv,,Version-gate provider-usage projection so it self-heals like session_profiles,PROBLEM: session_model_usage (provider token/cost rollup) is materialized once at ingest (polylogue/storage/sqlite/archive_tiers/write.py:618) and is NOT in the insight rebuild path (absent from storage/insights/session/rebuild.py and insights/registry.py).,1) Provider-usage rollups carry a materializer version and a stale check reachable from the periodic session-insight convergence loop.
34,0,polylogue-jnj.5,2,bug,open,polylogue-kwsb,,Route ops reset --session/--source through the mutation contract,Identity resets tombstone directly before the preview/confirmation branch — a typo mutates suppression state without dry-run or JSON evidence.,- `polylogue ops reset --session <ref>` and `--source <ref>` print a dry-run of the exact target rows (origin/native_id + counts) BEFORE any tombstone write; no mutation occurs without `--yes` (code path confirmed: tombstone no longer runs before the preview/confirmation branch — grep the reset command implementation).
35,0,polylogue-peo,2,bug,open,polylogue-8jg9,,Daemon death leaves no trace: crash forensics + heartbeat sentinel + restart policy,"During read-only serving (run --no-watch --no-source-catchup --no-browser-capture) the daemon terminated twice within minutes; the log simply stops mid-work (last lines: routine embed/insights progress), no traceback, no 'Killed', nothing in ops.db.",1.
36,0,polylogue-rsad,2,bug,open,,,"MCP agent ergonomics: oversized responses, boilerplate affordances, metadata-only summaries",Field report from a Sinex-side agent doing design archaeology over the archive (2026-07-06).,
37,0,polylogue-tsk,2,bug,open,,,Resume ranking keys on workflow shapes the classifier never emits,Fables architecture pass: find_resume_candidates ranks on workflow-shape labels that the current shape classifier no longer emits — the ranking silently degrades to its fallback terms.,1.
38,0,polylogue-xy95,2,bug,open,polylogue-f2qv,,Speed up provider usage full stale diagnostics,"During polylogue-4ts.2, polylogue analyze usage --origin codex-session --detail full --limit 20 --format json entered D-state and had to be terminated.","On the active archive, the Codex full usage diagnostic either completes within an agreed interactive budget or exposes separately selectable expensive sections; no D-state wait in the normal stale-rollup path; tests cover reasoning-only rows and the optimized stale-rollup result."
39,0,polylogue-0k6,2,task,open,polylogue-mhx,,Embedding changed-text full-replace regression vs split embeddings.db metadata,"Changed-text reindexing for the same message_id needs an explicit full-replace regression against split embeddings.db metadata (index-tier rows cleared, embeddings tier not).",1.
40,0,polylogue-0ns,2,task,open,polylogue-mhx,,Bound archive embedding work within large sessions,"Why: while verifying live daemon convergence on 2026-07-04, a forced embedding debt drain could run longer than the outer daemon session window because _embed_archive_sessions_sync checks _DAEMON_EMBED_STOP_AFTER_SECONDS only between sessions, while embed_archive_session_sync can process a very large session internally.",1.
41,0,polylogue-1vpm.1,2,task,open,polylogue-1vpm,,Delegation derived unit: materializer + query unit + delegation-card projection,"First-class delegations rows in index.db (derived, recomputable, extractor-versioned): delegation identity prefers (parent_session_id, tool_use_block_id) — never prompt text (identical prompts are different delegations).","Fixtures: Claude Task pair, acompact exclusion, Codex spawn, unresolved child, no false subagent from forked_from_id; delegations where parent.repo:X and status:failed works; card renders bounded (full prompts only under explicit opt-in); index bump batched."
42,0,polylogue-1vpm.2,2,task,open,polylogue-1vpm,,"Episode unit: tables, 4-signal scorer with false-merge floor, assertion-calibrated",episodes / episode_members / episode_edges in index.db.,Deliberately under-stitches on first corpus (polylogue repo work first — strongest evidence density); zero candidate-only merges in default render; edge evidence auditable; operator decisions survive rebuild; episodes where member.origin:chatgpt and member.origin:claude-code returns cross-tool episodes.
43,0,polylogue-1vpm.4,2,task,open,polylogue-1vpm,,Turn-pair unit with prompt-burst semantics (no double-claimed answers),"Per-turn latency/cost/correction-rate needs a prompt->answer relation, and the naive pairing law (each prompt -> MIN(next assistant)) is WRONG: two human messages before one answer both claim it.",human->human->assistant yields ONE pair with burst_size=2; tool rows skipped; trailing burst abandoned=true; latency NULL-safe; turn-pairs where answer_model:X works cross-surface.
44,0,polylogue-1xc.8,2,task,open,polylogue-1xc,,Schema rebuild-safety scenario,scenario-coverage.yaml gap 'schema-rebuild-safety' orphaned on gh#590.,"A rebuild-safety scenario resets a derived tier and rebuilds from source, asserting byte/row parity + no user.db loss; a durable additive migration round-trips behind the backup gate."
45,0,polylogue-20d.10,2,task,open,polylogue-20d,,Runtime post-filter efficiency: memoize semantic facts; lower matchers onto the actions view,"matches_action_sequence, matches_referenced_path, and category matching each call _actions_for(session) -> build_session_semantic_facts (runtime_matching.py:20-25) — full semantic-fact construction over a hydrated session, no memoization across the three matchers, applied as list-comprehension post-filter (runtime_filters.py:188-189).",1.
46,0,polylogue-20d.14,2,task,open,polylogue-20d,,"Interactive SLO tier: named latency budgets, continuously measured, regression-gated",'Snappy' needs numbers or it regresses silently.,slo-catalog.yaml contains the interactive tier with the stated budgets.
47,1,polylogue-20d.15,2,task,open,polylogue-20d,polylogue-20d.14,"Bulk ingest throughput + resource envelope: parallel parse, batched writes, bounded RSS/IO","Live evidence 2026-07-03: the full index rebuild replayed 16,725 raw rows at 12-15 rows/s whole-run (5/s when it hit big sessions) — 20-40 minutes of archive downtime for an operation the fresh-first doctrine treats as routine.",Full replay of a live-archive copy sustains >=100 raw rows/s whole-run on the operator machine and finishes <5 min; rebuild prints live rows/s and ETA.
48,2,polylogue-b5l,1,task,open,,polylogue-20d.15,Blue-green index rebuilds: fresh-first without downtime,"Operator re-think directive (2026-07-03): the fresh-first doctrine's CORRECTNESS half is right (no in-place migration chains, derived tiers rebuild from source) but its OPERATIONAL half is wrong — a schema bump currently means 'ops reset --index && polylogued run' with the archive degraded for the whole rebuild (observed live: 20-40 min at 12-15 rows/s, every surface confused meanwhile).","A schema bump on the seeded corpus (and then the live archive) completes with zero failed queries: reads served continuously from the old generation, swap under 100ms write pause, delta replayed, old generation reaped."
49,0,polylogue-20d.2,2,task,open,polylogue-20d,,Defer heavy imports off the CLI startup path,~2s import tax per invocation; also the residual cold cost when the daemon path is absent.,- `python -X importtime -c 'from polylogue.cli.click_app import main'` shows surfaces/payloads and api/archive no longer imported on the `polylogue <cmd> --help` path.
50,0,polylogue-20d.5,2,task,open,polylogue-20d,,"Finish streaming reads: composed transcripts, messages --full writer, origin-filtered pagination SQL",Residue of the streaming-export slice: lineage-composed transcript streaming falls back to the eager path; read --view messages --full --to file lacks a true writer/iterator renderer; material-origin-filtered pagination is eager until SQL owns the predicate.,- Lineage-composed transcript streaming uses the streaming writer (extend the a9dc3f274 pattern) for composed (parent-prefix + tail) reads — no eager full-materialization fallback remains (grep the composed read path).
51,0,polylogue-20d.6,2,task,open,polylogue-20d,,Live full-ingest catch-up latency + WAL shape,0.2 files/s full-ingest chunks; parse_s ~274s for 50 small files.,- RE-MEASURE first (recent daemon backoff commits changed the shape): bounded catch-up run + stage timings + `polylogue ops diagnostics workload` before/after are captured and the baseline recorded.
52,0,polylogue-212.1,2,task,open,polylogue-212,,Post-hoc forensic Q&A demo: questions a tracer cannot answer,The category-separation demo: take one completed multi-hour coding-agent session and answer post-hoc questions live — when did the bad assumption first enter; which file churned before the regression; what evidence did the agent cite for a design choice; which prior failed attempts resemble today's failure.,1.
53,0,polylogue-212.2,2,task,open,polylogue-212,,D1 'The receipts': claim-vs-evidence on a real PR,"Pick a merged agent-authored PR; resolve PR -> authoring session via session_commits/session_repos; get_postmortem_bundle; render two columns: claimed (PR-body sentences: 'tests pass') vs observed (actions rows: the pytest invocation, exit_code, duration — drillable to the raw tool_result block).",1.
54,0,polylogue-212.3,2,task,open,polylogue-212,,D2 'Where did the money actually go': cost by outcome,"Five-axis cost basis shown honestly (provider-reported exact vs catalog-priced with stated coverage), then the pivot nobody else can do: cost by outcome — '$N this month; X% spent in sessions that ended abandoned or with a failing final action; five most expensive failures, click through to the exact turn.' Needs the outcome-conditioned join (action outcome fields bead); instruments otherwise exist (cost_rollups, session_costs, terminal-state profiles, per-origin exact/estimate labels rendered…",1.
55,0,polylogue-212.4,2,task,open,polylogue-212,,"D4 'Behavioral archaeology': six DSL queries, rapid fire","Each answers a question an engineering lead would ask, each impossible in any chat UI: SEQ thrash-loop hunt; failure-rate by model; which tools break (observed-event outcomes by tool); near:'race condition' semantic probe across providers; abandoned-in-this-repo-this-quarter; then pipe straight into read.",1.
56,0,polylogue-212.8,2,task,open,polylogue-212,,The honesty anti-demo: a tempting finding that emits verdict not_supported,Ship a demo whose SUCCESS is refusal: attempt a tempting claim (e.g.,Anti-demo packet passes the packet lint with not_supported verdict; report names each missing capability with the bead ref that would supply it; included in the registry manifest and the public mini-portfolio.
57,3,polylogue-27m,2,task,open,polylogue-kwsb,polylogue-b5l,Excision and secret hygiene: the archive can forget on purpose,Keep-everything is doctrine; 'cannot remove that API key I pasted in 2025' is a bug in that doctrine's shadow.,Excising a seeded session's message removes it from every tier (verified by grep across source/index/FTS/embeddings/blob refs) and leaves the tombstone; re-ingesting the original source does not resurrect it; the secret scanner flags a seeded fake credential as a candidate without logging its value; retro scan on the live archive produces a bounded candidate list.
58,0,polylogue-37t.14,2,task,open,polylogue-37t,,"Recursive-safety substrate: citation anchors, provenance edges, grounding verdicts (closed-loop/cycle/drift)",THE load-bearing safety invariant for a self-ingesting archive (browser capture auto-ingests the operator R&D chats; distilled findings become assertions; assertions can inject into future context — the recovery-digest fabrication class generalizes to: an agent claim laundered through other agent claims until it re-enters context as truth).,The laundering scenario is structurally blocked in a test: agent assertion citing only agent sessions/assertions never appears in compiled context; adding a git/tool-result/human-judgment anchor or judging it releases it; cycle + drift each independently quarantine; a transcript-only anchor cannot release a world-claim (compatibility matrix test).
59,0,polylogue-38x,2,task,open,,,Reconcile archived audit residue against current source,Older archived audits under .agent/archive/conductor-history/2026-07-01 still contain valuable findings that are not all represented as executable Beads.,A current-source reconciliation table exists for every seed finding from the archived construct-validity/fanout/insights audits; every still-live finding is linked to an owning executable Beads issue or split into one; every stale/fixed finding cites current source or tests; no archived audit item in the seed list remains only as untriaged markdown; bd ready no longer depends on reading .agent/archive to discover these issues.
60,0,polylogue-3tl.12,2,task,open,polylogue-3tl,,README de-meta / de-persuasion pass with reproducible capability claims,"Raw-log 2026-07-04 18:16-18:21 (post-dates the closed 3tl.1 skim-ladder rewrite): strip the meta/persuasion register from the README, define agent-coined terms (judged notes, work phases, logical session) on first use, and make each capability claim reproducible on the operator's own archive (a command the reader can run).",README first screen names the category and four verbs without persuasion register; every coined term is defined at first use; each capability claim links a runnable `polylogue`/`devtools` command; a fresh no-context reader can reproduce >=2 claims.
61,0,polylogue-3tl.13,2,task,open,polylogue-3tl,,Reconcile schema-versioning docs + retire superseded execution-plan.md,"architecture-spine.md:34-37 lists 'in-place upgrade chains' as Rejected with no durable-additive carve-out, contradicting the shipped migrations and internals.md's own two-regime text (internals.md:284-289 is internally inconsistent).",architecture-spine + internals schema-versioning sections describe the two-regime model consistently; execution-plan.md is archived/removed and no doc calls it current; README points at Beads.
62,0,polylogue-3tl.16,2,task,open,polylogue-3tl,,Public claims ledger: every README/launch claim carries a status and an evidence ref,"Turn radical honesty into a product surface: every public claim (README, docs site, launch post, category one-liner) must be exactly one of proven (backed by a finding/proof artifact), capability (code exists, no measured-result claim), aspirational (roadmap only), or retired (no longer true).","claims.yml exists and covers every quantitative/comparative claim in README + docs site; CI gate rejects unreferenced claims; each status has at least one real entry or an explicit none; the flight-recorder category claim itself is ledgered (initially capability, not proven)."
63,0,polylogue-3tl.4,2,task,open,polylogue-3tl,,Findings publishing lane: campaign artifacts on the docs site,"The Pages pipeline already builds and deploys the docs site on master push; give campaign artifacts (claim-vs-evidence finding, forensics report) a publishing lane there — rendered report + reproduction instructions, regenerated from the seeded corpus so nothing private ships.",1.
64,0,polylogue-3tl.7,2,task,open,polylogue-3tl,,Release is a decision: proven install matrix across package managers and OSes,"Release machinery exists (release-please, PyPI + Homebrew tap + GHCR + Nix flake wired in CI per the grok evidence) but 'wired' is not 'proven': nobody continuously verifies that a stranger's install actually works on each lane, so the first real user on each path is the test.",1.
65,0,polylogue-3tl.9,2,task,open,polylogue-3tl,,Docs-and-visuals ownership: coverage lint + regenerable visuals as a standing devloop gate,"The operator wants agents to comprehensively OWN external-facing docs and visual material, not touch them opportunistically.",1.
66,1,polylogue-3uw,2,task,open,,polylogue-d1y,Capture-completeness: the instrument's coverage error as a standing measure,Convergence legibility answers 'how converged is what we ingested'; nothing answers 'how much of what EXISTS did we ingest'.,Coverage renders per origin on the live archive with the known-miss list drillable to refs; a seeded missed-session scenario trips the health alert; findings' sample-frame stanzas can cite the coverage number for their window.
67,0,polylogue-3v1.1,2,task,open,polylogue-3v1,,"Multiple concurrent browser-capture extension instances: attribution, dedup, spool safety","Raw-log 2026-07-04 19:00: with agent-private + live Chrome both able to run the capture extension against the single loopback receiver, >1 instance can post concurrently.",Two simultaneous extension instances posting the same session produce one archived session (dedup by content hash); each capture carries an attributable instance id; concurrent spool writes never corrupt or interleave a spool file (test with 2 simulated posters).
68,1,polylogue-3v1,2,task,open,polylogue-jlme,,"Capture extension reliability + status UX: spool health, completeness, gap visibility","The extension (MV3, popup + badge, content bridges for chatgpt.com/claude.ai/grok.com/x.com) works end-to-end but its trust surface is thin: the operator cannot tell at a glance whether a given chat is fully captured, partially captured, or silently missed; receiver-down behavior (daemon stopped — which is common, it is loopback-only) and retry/spool state are invisible; gemini.google.com is absent from host_permissions entirely despite Gemini being a supported archive origin; and capture failu…",Badge shows current/spooled/error states per tab.
69,0,polylogue-4be,2,task,open,polylogue-8jg9,,"Restore drill: prove the backups restore, quarterly","Three backup layers exist (btrbk, polylogue-sqlite-backup, source-tier doctrine); none has ever been restore-tested.",One full restore executed from real backups with the battery green and timing recorded; the lane is invocable as one command; the quarterly timer is wired sinnix-side; a deliberately corrupted scratch restore fails loudly.
70,0,polylogue-4p1.1,2,task,open,polylogue-4p1,,Route daemon split-archive fast path through SessionQuerySpec.from_params,"polylogue/daemon/http.py:1970 documents that the split-archive fast path intentionally does not construct a SessionQuerySpec and hand-mirrors every public structured filter (has_paste, has_tool_use, has_thinking, repo, has_type, tool/exclude_tool, action/exclude_action/action_sequence/action_text, referenced_path, cwd_prefix, title, min/max_messages, min/max_words, plus the shared _filter_kw block).",The daemon split-archive list/search/count path derives all structured filters from a SessionQuerySpec built via from_params (no per-field re-read of HTTP params for filters the spec already models); a test enumerates SessionQuerySpec filter attributes and fails if the fast path drops any; the in-code 'must mirror those public params here' comment and its manual mirroring block are removed; render surfaces (openapi/cli-output-schemas) still verify.
71,1,polylogue-4p1,2,task,open,,,Decision: one read algebra — Query x Projection x Render as the only read contract,"The read side has N surfaces multiplying independently: CLI verbs with per-view flags, analyze boolean modes, MCP tools (~61 read tools, many being named parameterizations of the same underlying read), web routes, read-view profiles, read-package layouts.","docs/architecture-spine.md gains a 'One read algebra' entry under Major Decisions naming SelectionSpec x ProjectionSpec x RenderSpec (QueryProjectionSpec) as the sole read contract and presets as named (S,P,R) triples, with projection_spec.py cited as the existing realization."
