order,wave,id,priority,issue_type,status,title,root,parent,release,release_name,lane,original_readiness_grade,upgraded_readiness_grade,had_acceptance_criteria,acceptance_patch_added,verification_lane,proof_artifact_path,security_impact,data_loss_impact,migration_impact,public_claim_impact
11,0,polylogue-cfk,1,task,open,"Re-run two-arm uplift with freshness-fixed packs (n>=3 pairs, then n=12-20)",polylogue-cfk,,L-external-legibility,"External legibility, demos, and launch",docs-demos-launch,A-implementation-ready,A-implementation-ready,True,False,"one-command demo log, claims-ledger coverage report, install matrix, cold-reader proof",artifacts/L-external-legibility/polylogue-cfk.md,False,False,False,True
12,0,polylogue-0v9p,1,feature,open,Language detection and preference facts for variant selection,polylogue-4smp,polylogue-4smp,E-variants-preferences,"Content variants, preferences, and transformed views",variants-preferences,A-implementation-ready,A-implementation-ready,True,False,mixed-language variant fixture with source/variant/alignment rendering in CLI/web/MCP,artifacts/E-variants-preferences/polylogue-0v9p.md,False,False,False,False
13,0,polylogue-83u.3,1,feature,open,Preserve uploaded attachment bytes in live browser capture,polylogue-83u,polylogue-83u,B-storage-rebuild-bytes,"Storage, rebuild, and byte-integrity floor",blob-integrity,A-implementation-ready,A-implementation-ready,True,False,"leased-blob race fixture, blob-reference resolver report, SHA-256 restore/compression proof",artifacts/B-storage-rebuild-bytes/polylogue-83u.3.md,False,True,False,False
14,0,polylogue-arso,1,feature,open,"Content variant substrate: refs, nodes, alignment, storage",polylogue-4smp,polylogue-4smp,E-variants-preferences,"Content variants, preferences, and transformed views",variants-preferences,A-implementation-ready,A-implementation-ready,True,False,mixed-language variant fixture with source/variant/alignment rendering in CLI/web/MCP,artifacts/E-variants-preferences/polylogue-arso.md,False,False,False,False
15,0,polylogue-bby.11,1,feature,open,Webui architecture v2: the stack that can carry the ambition,polylogue-bby,polylogue-bby,H-web-cockpit,Web evidence cockpit,web-evidence-cockpit,A-implementation-ready,A-implementation-ready,True,False,"web visual smoke, slow-route state fixture, basket-to-citable-export proof",artifacts/H-web-cockpit/polylogue-bby.11.md,False,False,False,False
16,0,polylogue-d1y,1,feature,open,polylogue hooks install: one-command harness wiring + hook liveness monitoring,polylogue-s7ae,polylogue-s7ae,D-agent-context-coordination,"Agent context, memory, and coordination",agent-coordination,A-implementation-ready,A-implementation-ready,True,False,two-agent separate-worktree proof with before/after coordination envelopes,artifacts/D-agent-context-coordination/polylogue-d1y.md,False,False,False,False
17,0,polylogue-pj8,1,feature,open,Agent query cookbook: MCP prompts + skill recipes as the discoverability layer,polylogue-s7ae,polylogue-s7ae,D-agent-context-coordination,"Agent context, memory, and coordination",agent-coordination,A-implementation-ready,A-implementation-ready,True,False,two-agent separate-worktree proof with before/after coordination envelopes,artifacts/D-agent-context-coordination/polylogue-pj8.md,False,False,False,False
18,1,polylogue-s7ae.2,1,task,open,Pre-deployment MCP and hook coordination batch,polylogue-s7ae,polylogue-s7ae,D-agent-context-coordination,"Agent context, memory, and coordination",agent-coordination,A-implementation-ready,A-implementation-ready,True,False,two-agent separate-worktree proof with before/after coordination envelopes,artifacts/D-agent-context-coordination/polylogue-s7ae.2.md,False,False,False,False
19,2,polylogue-ahqd,1,task,open,Observe MCP write adoption after role rollout,polylogue-s7ae,polylogue-s7ae,D-agent-context-coordination,"Agent context, memory, and coordination",agent-coordination,B-local-inspection-needed,B-local-inspection-needed,True,False,two-agent separate-worktree proof with before/after coordination envelopes,artifacts/D-agent-context-coordination/polylogue-ahqd.md,False,False,False,False
20,1,polylogue-rlsb,1,feature,open,"Variant-aware projection, query, and reader render profiles",polylogue-4smp,polylogue-4smp,E-variants-preferences,"Content variants, preferences, and transformed views",variants-preferences,A-implementation-ready,A-implementation-ready,True,False,mixed-language variant fixture with source/variant/alignment rendering in CLI/web/MCP,artifacts/E-variants-preferences/polylogue-rlsb.md,False,False,False,False
21,2,polylogue-d4zk,1,feature,open,"User and agent UX for creating, reviewing, and messaging about variants",polylogue-4smp,polylogue-4smp,E-variants-preferences,"Content variants, preferences, and transformed views",variants-preferences,A-implementation-ready,A-implementation-ready,True,False,mixed-language variant fixture with source/variant/alignment rendering in CLI/web/MCP,artifacts/E-variants-preferences/polylogue-d4zk.md,False,False,False,False
22,3,polylogue-4smp,1,epic,open,Content variants: language-aware transformed archive objects with alignment,polylogue-4smp,,E-variants-preferences,"Content variants, preferences, and transformed views",variants-preferences,A-implementation-ready,A-implementation-ready,True,False,mixed-language variant fixture with source/variant/alignment rendering in CLI/web/MCP,artifacts/E-variants-preferences/polylogue-4smp.md,False,False,False,False
23,0,polylogue-1xc.12,2,bug,open,FTS drift gauges + metamorphic coherence tests; rowid-reuse requires block_id check,polylogue-1xc,polylogue-1xc,B-storage-rebuild-bytes,"Storage, rebuild, and byte-integrity floor",storage-rebuild-scale,A-implementation-ready,A-implementation-ready,True,False,"large-corpus rebuild probe, blue-green generation swap proof, WAL/resource envelope report",artifacts/B-storage-rebuild-bytes/polylogue-1xc.12.md,False,True,True,False
24,0,polylogue-20d.4,2,bug,open,CLI structured-query routing parity with daemon (#1860): no FTS gate for non-FTS queries,polylogue-20d,polylogue-20d,G-live-performance,"Live intake, capture, daemon, and interactive performance",interactive-performance,A-implementation-ready,A-implementation-ready,True,False,"named SLO report, daemon hot-path benchmark, push/cache invalidation tests",artifacts/G-live-performance/polylogue-20d.4.md,False,False,False,False
25,0,polylogue-4ts.3,2,bug,open,Distinguish subagent auto-compaction from main-session acompact,polylogue-4ts,polylogue-4ts,F-lineage-compaction,Lineage truth and compaction recovery,lineage-compaction,A-implementation-ready,A-implementation-ready,True,False,branch/shared-prefix/compaction/truncation fixture matrix and regrounding proof,artifacts/F-lineage-compaction/polylogue-4ts.3.md,False,False,False,False
26,0,polylogue-4ts.4,2,bug,open,Wrap lineage composition reads in a single read transaction,polylogue-4ts,polylogue-4ts,F-lineage-compaction,Lineage truth and compaction recovery,lineage-compaction,A-implementation-ready,A-implementation-ready,True,False,branch/shared-prefix/compaction/truncation fixture matrix and regrounding proof,artifacts/F-lineage-compaction/polylogue-4ts.4.md,False,False,False,False
27,0,polylogue-4ts.6,2,bug,open,Lineage composition silently truncates transcripts; surface a completeness signal,polylogue-4ts,polylogue-4ts,F-lineage-compaction,Lineage truth and compaction recovery,lineage-compaction,B-local-inspection-needed,B-local-inspection-needed,True,False,branch/shared-prefix/compaction/truncation fixture matrix and regrounding proof,artifacts/F-lineage-compaction/polylogue-4ts.6.md,False,False,False,False
28,0,polylogue-a7xr.1,2,bug,open,Sweep remaining sqlite3 connection leaks: 'with sqlite3.connect()' commits but never closes,polylogue-a7xr,polylogue-a7xr,M-substrate-consolidation,Substrate consolidation and codebase simplification,substrate-consolidation,B-local-inspection-needed,B-local-inspection-needed,True,False,"layering/import graph diff, parity tests before/after refactor, public-model compatibility suite",artifacts/M-substrate-consolidation/polylogue-a7xr.1.md,False,False,False,False
29,0,polylogue-a7xr.2,2,bug,open,Converger and repair disagree on session_profile staleness for NULL-sort-key sessions,polylogue-a7xr,polylogue-a7xr,M-substrate-consolidation,Substrate consolidation and codebase simplification,substrate-consolidation,A-implementation-ready,A-implementation-ready,True,False,"layering/import graph diff, parity tests before/after refactor, public-model compatibility suite",artifacts/M-substrate-consolidation/polylogue-a7xr.2.md,False,False,False,False
30,0,polylogue-a7xr.3,2,bug,open,message_type_backfill reconstructs prose unordered and unfiltered; message-prose SQL exists 5x,polylogue-a7xr,polylogue-a7xr,M-substrate-consolidation,Substrate consolidation and codebase simplification,substrate-consolidation,A-implementation-ready,A-implementation-ready,True,False,"layering/import graph diff, parity tests before/after refactor, public-model compatibility suite",artifacts/M-substrate-consolidation/polylogue-a7xr.3.md,False,False,False,False
31,0,polylogue-a7xr.6,2,bug,open,"parse_archive_datetime: 6 copies, one with different tz semantics (naive/aware time bomb)",polylogue-a7xr,polylogue-a7xr,M-substrate-consolidation,Substrate consolidation and codebase simplification,substrate-consolidation,A-implementation-ready,A-implementation-ready,True,False,"layering/import graph diff, parity tests before/after refactor, public-model compatibility suite",artifacts/M-substrate-consolidation/polylogue-a7xr.6.md,False,False,False,False
32,0,polylogue-f2qv.1,2,bug,open,Per-model token rollup double-count: session totals partitioned once (#2472),polylogue-f2qv,polylogue-f2qv,A-trust-floor,Trust floor,security-privacy,B-local-inspection-needed,B-local-inspection-needed,True,False,negative Host/Origin/token/spool/security fixture suite,artifacts/A-trust-floor/polylogue-f2qv.1.md,True,False,False,False
33,0,polylogue-f2qv.5,2,bug,open,Version-gate provider-usage projection so it self-heals like session_profiles,polylogue-f2qv,polylogue-f2qv,A-trust-floor,Trust floor,usage-cost-honesty,B-local-inspection-needed,B-local-inspection-needed,True,False,usage/cost reconciliation report with disjoint lanes and empty-evidence tests,artifacts/A-trust-floor/polylogue-f2qv.5.md,False,False,False,True
34,0,polylogue-jnj.5,2,bug,open,Route ops reset --session/--source through the mutation contract,polylogue-kwsb,polylogue-kwsb,A-trust-floor,Trust floor,security-privacy,A-implementation-ready,A-implementation-ready,True,False,negative Host/Origin/token/spool/security fixture suite,artifacts/A-trust-floor/polylogue-jnj.5.md,True,False,False,False
35,0,polylogue-peo,2,bug,open,Daemon death leaves no trace: crash forensics + heartbeat sentinel + restart policy,polylogue-8jg9,polylogue-8jg9,B-storage-rebuild-bytes,"Storage, rebuild, and byte-integrity floor",operational-resilience,A-implementation-ready,A-implementation-ready,True,False,daemon crash/heartbeat fixture and backup restore drill log,artifacts/B-storage-rebuild-bytes/polylogue-peo.md,False,True,True,False
36,0,polylogue-rsad,2,bug,open,"MCP agent ergonomics: oversized responses, boilerplate affordances, metadata-only summaries",polylogue-rsad,,D-agent-context-coordination,"Agent context, memory, and coordination",agent-coordination,C-needs-acceptance-criteria,B-local-inspection-needed,False,True,two-agent separate-worktree proof with before/after coordination envelopes,artifacts/D-agent-context-coordination/polylogue-rsad.md,False,False,False,False
37,0,polylogue-tsk,2,bug,open,Resume ranking keys on workflow shapes the classifier never emits,polylogue-tsk,,D-agent-context-coordination,"Agent context, memory, and coordination",context-memory,A-implementation-ready,A-implementation-ready,True,False,context scheduler ledger fixture and candidate judgment queue proof,artifacts/D-agent-context-coordination/polylogue-tsk.md,False,False,False,False
38,0,polylogue-xy95,2,bug,open,Speed up provider usage full stale diagnostics,polylogue-f2qv,polylogue-f2qv,A-trust-floor,Trust floor,usage-cost-honesty,A-implementation-ready,A-implementation-ready,True,False,usage/cost reconciliation report with disjoint lanes and empty-evidence tests,artifacts/A-trust-floor/polylogue-xy95.md,False,False,False,True
39,0,polylogue-0k6,2,task,open,Embedding changed-text full-replace regression vs split embeddings.db metadata,polylogue-mhx,polylogue-mhx,J-embeddings-retrieval,Embeddings and semantic retrieval,embeddings-retrieval,A-implementation-ready,A-implementation-ready,True,False,"FTS/vector/hybrid retrieval eval, provider abstraction tests, bounded-vector-work fixture",artifacts/J-embeddings-retrieval/polylogue-0k6.md,False,False,True,False
40,0,polylogue-0ns,2,task,open,Bound archive embedding work within large sessions,polylogue-mhx,polylogue-mhx,J-embeddings-retrieval,Embeddings and semantic retrieval,embeddings-retrieval,A-implementation-ready,A-implementation-ready,True,False,"FTS/vector/hybrid retrieval eval, provider abstraction tests, bounded-vector-work fixture",artifacts/J-embeddings-retrieval/polylogue-0ns.md,False,False,False,False
41,0,polylogue-1vpm.1,2,task,open,Delegation derived unit: materializer + query unit + delegation-card projection,polylogue-1vpm,polylogue-1vpm,I-analytics-experiments,"Analytics, experiments, and measured learning",analytics-experiments,B-local-inspection-needed,B-local-inspection-needed,True,False,"measure registry, sample-frame/uncertainty/confound rendering tests, experiment analysis fixture",artifacts/I-analytics-experiments/polylogue-1vpm.1.md,False,False,True,True
42,0,polylogue-1vpm.2,2,task,open,"Episode unit: tables, 4-signal scorer with false-merge floor, assertion-calibrated",polylogue-1vpm,polylogue-1vpm,I-analytics-experiments,"Analytics, experiments, and measured learning",analytics-experiments,B-local-inspection-needed,B-local-inspection-needed,True,False,"measure registry, sample-frame/uncertainty/confound rendering tests, experiment analysis fixture",artifacts/I-analytics-experiments/polylogue-1vpm.2.md,False,False,True,True
43,0,polylogue-1vpm.4,2,task,open,Turn-pair unit with prompt-burst semantics (no double-claimed answers),polylogue-1vpm,polylogue-1vpm,I-analytics-experiments,"Analytics, experiments, and measured learning",analytics-experiments,B-local-inspection-needed,B-local-inspection-needed,True,False,"measure registry, sample-frame/uncertainty/confound rendering tests, experiment analysis fixture",artifacts/I-analytics-experiments/polylogue-1vpm.4.md,False,False,True,True
44,0,polylogue-1xc.8,2,task,open,Schema rebuild-safety scenario,polylogue-1xc,polylogue-1xc,B-storage-rebuild-bytes,"Storage, rebuild, and byte-integrity floor",storage-rebuild-scale,B-local-inspection-needed,B-local-inspection-needed,True,False,"large-corpus rebuild probe, blue-green generation swap proof, WAL/resource envelope report",artifacts/B-storage-rebuild-bytes/polylogue-1xc.8.md,False,True,True,False
45,0,polylogue-20d.10,2,task,open,Runtime post-filter efficiency: memoize semantic facts; lower matchers onto the actions view,polylogue-20d,polylogue-20d,G-live-performance,"Live intake, capture, daemon, and interactive performance",live-substrate,A-implementation-ready,A-implementation-ready,True,False,"live-ingest fixture, event materialization proof, status/liveness report",artifacts/G-live-performance/polylogue-20d.10.md,False,False,False,False
46,0,polylogue-20d.14,2,task,open,"Interactive SLO tier: named latency budgets, continuously measured, regression-gated",polylogue-20d,polylogue-20d,G-live-performance,"Live intake, capture, daemon, and interactive performance",interactive-performance,A-implementation-ready,A-implementation-ready,True,False,"named SLO report, daemon hot-path benchmark, push/cache invalidation tests",artifacts/G-live-performance/polylogue-20d.14.md,False,False,False,False
47,1,polylogue-20d.15,2,task,open,"Bulk ingest throughput + resource envelope: parallel parse, batched writes, bounded RSS/IO",polylogue-20d,polylogue-20d,G-live-performance,"Live intake, capture, daemon, and interactive performance",interactive-performance,A-implementation-ready,A-implementation-ready,True,False,"named SLO report, daemon hot-path benchmark, push/cache invalidation tests",artifacts/G-live-performance/polylogue-20d.15.md,False,False,False,False
48,2,polylogue-b5l,1,task,open,Blue-green index rebuilds: fresh-first without downtime,polylogue-b5l,,B-storage-rebuild-bytes,"Storage, rebuild, and byte-integrity floor",storage-rebuild-scale,A-implementation-ready,A-implementation-ready,True,False,"large-corpus rebuild probe, blue-green generation swap proof, WAL/resource envelope report",artifacts/B-storage-rebuild-bytes/polylogue-b5l.md,False,True,True,False
49,0,polylogue-20d.2,2,task,open,Defer heavy imports off the CLI startup path,polylogue-20d,polylogue-20d,G-live-performance,"Live intake, capture, daemon, and interactive performance",interactive-performance,A-implementation-ready,A-implementation-ready,True,False,"named SLO report, daemon hot-path benchmark, push/cache invalidation tests",artifacts/G-live-performance/polylogue-20d.2.md,False,False,False,False
50,0,polylogue-20d.5,2,task,open,"Finish streaming reads: composed transcripts, messages --full writer, origin-filtered pagination SQL",polylogue-20d,polylogue-20d,G-live-performance,"Live intake, capture, daemon, and interactive performance",interactive-performance,A-implementation-ready,A-implementation-ready,True,False,"named SLO report, daemon hot-path benchmark, push/cache invalidation tests",artifacts/G-live-performance/polylogue-20d.5.md,False,False,False,False
51,0,polylogue-20d.6,2,task,open,Live full-ingest catch-up latency + WAL shape,polylogue-20d,polylogue-20d,G-live-performance,"Live intake, capture, daemon, and interactive performance",interactive-performance,A-implementation-ready,A-implementation-ready,True,False,"named SLO report, daemon hot-path benchmark, push/cache invalidation tests",artifacts/G-live-performance/polylogue-20d.6.md,False,False,False,False
52,0,polylogue-212.1,2,task,open,Post-hoc forensic Q&A demo: questions a tracer cannot answer,polylogue-212,polylogue-212,L-external-legibility,"External legibility, demos, and launch",docs-demos-launch,A-implementation-ready,A-implementation-ready,True,False,"one-command demo log, claims-ledger coverage report, install matrix, cold-reader proof",artifacts/L-external-legibility/polylogue-212.1.md,False,False,False,True
53,0,polylogue-212.2,2,task,open,D1 'The receipts': claim-vs-evidence on a real PR,polylogue-212,polylogue-212,L-external-legibility,"External legibility, demos, and launch",docs-demos-launch,A-implementation-ready,A-implementation-ready,True,False,"one-command demo log, claims-ledger coverage report, install matrix, cold-reader proof",artifacts/L-external-legibility/polylogue-212.2.md,False,False,False,True
54,0,polylogue-212.3,2,task,open,D2 'Where did the money actually go': cost by outcome,polylogue-212,polylogue-212,L-external-legibility,"External legibility, demos, and launch",docs-demos-launch,A-implementation-ready,A-implementation-ready,True,False,"one-command demo log, claims-ledger coverage report, install matrix, cold-reader proof",artifacts/L-external-legibility/polylogue-212.3.md,False,False,False,True
55,0,polylogue-212.4,2,task,open,"D4 'Behavioral archaeology': six DSL queries, rapid fire",polylogue-212,polylogue-212,L-external-legibility,"External legibility, demos, and launch",docs-demos-launch,A-implementation-ready,A-implementation-ready,True,False,"one-command demo log, claims-ledger coverage report, install matrix, cold-reader proof",artifacts/L-external-legibility/polylogue-212.4.md,False,False,False,True
56,0,polylogue-212.8,2,task,open,The honesty anti-demo: a tempting finding that emits verdict not_supported,polylogue-212,polylogue-212,L-external-legibility,"External legibility, demos, and launch",docs-demos-launch,A-implementation-ready,A-implementation-ready,True,False,"one-command demo log, claims-ledger coverage report, install matrix, cold-reader proof",artifacts/L-external-legibility/polylogue-212.8.md,False,False,False,True
57,3,polylogue-27m,2,task,open,Excision and secret hygiene: the archive can forget on purpose,polylogue-kwsb,polylogue-kwsb,A-trust-floor,Trust floor,security-privacy,A-implementation-ready,A-implementation-ready,True,False,negative Host/Origin/token/spool/security fixture suite,artifacts/A-trust-floor/polylogue-27m.md,True,False,False,False
58,0,polylogue-37t.14,2,task,open,"Recursive-safety substrate: citation anchors, provenance edges, grounding verdicts (closed-loop/cycle/drift)",polylogue-37t,polylogue-37t,D-agent-context-coordination,"Agent context, memory, and coordination",agent-coordination,A-implementation-ready,A-implementation-ready,True,False,two-agent separate-worktree proof with before/after coordination envelopes,artifacts/D-agent-context-coordination/polylogue-37t.14.md,False,False,False,False
59,0,polylogue-38x,2,task,open,Reconcile archived audit residue against current source,polylogue-38x,,A-trust-floor,Trust floor,security-privacy,A-implementation-ready,A-implementation-ready,True,False,negative Host/Origin/token/spool/security fixture suite,artifacts/A-trust-floor/polylogue-38x.md,True,False,False,False
60,0,polylogue-3tl.12,2,task,open,README de-meta / de-persuasion pass with reproducible capability claims,polylogue-3tl,polylogue-3tl,L-external-legibility,"External legibility, demos, and launch",docs-demos-launch,B-local-inspection-needed,B-local-inspection-needed,True,False,"one-command demo log, claims-ledger coverage report, install matrix, cold-reader proof",artifacts/L-external-legibility/polylogue-3tl.12.md,False,False,False,True
61,0,polylogue-3tl.13,2,task,open,Reconcile schema-versioning docs + retire superseded execution-plan.md,polylogue-3tl,polylogue-3tl,L-external-legibility,"External legibility, demos, and launch",docs-demos-launch,B-local-inspection-needed,B-local-inspection-needed,True,False,"one-command demo log, claims-ledger coverage report, install matrix, cold-reader proof",artifacts/L-external-legibility/polylogue-3tl.13.md,False,False,True,True
62,0,polylogue-3tl.16,2,task,open,Public claims ledger: every README/launch claim carries a status and an evidence ref,polylogue-3tl,polylogue-3tl,L-external-legibility,"External legibility, demos, and launch",docs-demos-launch,A-implementation-ready,A-implementation-ready,True,False,"one-command demo log, claims-ledger coverage report, install matrix, cold-reader proof",artifacts/L-external-legibility/polylogue-3tl.16.md,False,False,False,True
63,0,polylogue-3tl.4,2,task,open,Findings publishing lane: campaign artifacts on the docs site,polylogue-3tl,polylogue-3tl,L-external-legibility,"External legibility, demos, and launch",docs-demos-launch,A-implementation-ready,A-implementation-ready,True,False,"one-command demo log, claims-ledger coverage report, install matrix, cold-reader proof",artifacts/L-external-legibility/polylogue-3tl.4.md,False,False,False,True
64,0,polylogue-3tl.7,2,task,open,Release is a decision: proven install matrix across package managers and OSes,polylogue-3tl,polylogue-3tl,L-external-legibility,"External legibility, demos, and launch",docs-demos-launch,A-implementation-ready,A-implementation-ready,True,False,"one-command demo log, claims-ledger coverage report, install matrix, cold-reader proof",artifacts/L-external-legibility/polylogue-3tl.7.md,False,False,False,True
65,0,polylogue-3tl.9,2,task,open,Docs-and-visuals ownership: coverage lint + regenerable visuals as a standing devloop gate,polylogue-3tl,polylogue-3tl,L-external-legibility,"External legibility, demos, and launch",docs-demos-launch,A-implementation-ready,A-implementation-ready,True,False,"one-command demo log, claims-ledger coverage report, install matrix, cold-reader proof",artifacts/L-external-legibility/polylogue-3tl.9.md,False,False,False,True
66,1,polylogue-3uw,2,task,open,Capture-completeness: the instrument's coverage error as a standing measure,polylogue-3uw,,I-analytics-experiments,"Analytics, experiments, and measured learning",analytics-experiments,A-implementation-ready,A-implementation-ready,True,False,"measure registry, sample-frame/uncertainty/confound rendering tests, experiment analysis fixture",artifacts/I-analytics-experiments/polylogue-3uw.md,False,False,False,True
67,0,polylogue-3v1.1,2,task,open,"Multiple concurrent browser-capture extension instances: attribution, dedup, spool safety",polylogue-jlme,polylogue-3v1,G-live-performance,"Live intake, capture, daemon, and interactive performance",capture-reliability,B-local-inspection-needed,B-local-inspection-needed,True,False,"extension smoke, concurrent spool/dedup test, capture-gap event fixture",artifacts/G-live-performance/polylogue-3v1.1.md,False,False,False,False
68,1,polylogue-3v1,2,task,open,"Capture extension reliability + status UX: spool health, completeness, gap visibility",polylogue-jlme,polylogue-jlme,G-live-performance,"Live intake, capture, daemon, and interactive performance",capture-reliability,A-implementation-ready,A-implementation-ready,True,False,"extension smoke, concurrent spool/dedup test, capture-gap event fixture",artifacts/G-live-performance/polylogue-3v1.md,False,False,False,False
69,0,polylogue-4be,2,task,open,"Restore drill: prove the backups restore, quarterly",polylogue-8jg9,polylogue-8jg9,B-storage-rebuild-bytes,"Storage, rebuild, and byte-integrity floor",operational-resilience,A-implementation-ready,A-implementation-ready,True,False,daemon crash/heartbeat fixture and backup restore drill log,artifacts/B-storage-rebuild-bytes/polylogue-4be.md,False,True,False,False
70,0,polylogue-4p1.1,2,task,open,Route daemon split-archive fast path through SessionQuerySpec.from_params,polylogue-4p1,polylogue-4p1,C-read-evidence-contract,One read contract and first-class evidence objects,read-contracts,B-local-inspection-needed,B-local-inspection-needed,True,False,CLI/daemon/MCP/Python/web query parity suite and content-hash citation drift fixture,artifacts/C-read-evidence-contract/polylogue-4p1.1.md,False,False,False,False
71,1,polylogue-4p1,2,task,open,Decision: one read algebra — Query x Projection x Render as the only read contract,polylogue-4p1,,C-read-evidence-contract,One read contract and first-class evidence objects,read-contracts,A-implementation-ready,A-implementation-ready,True,False,CLI/daemon/MCP/Python/web query parity suite and content-hash citation drift fixture,artifacts/C-read-evidence-contract/polylogue-4p1.md,False,False,False,False
72,0,polylogue-60i5,2,task,open,Durable-tier batch coordination: one user v4->v5 and one source v2->v3 migration window,polylogue-60i5,,B-storage-rebuild-bytes,"Storage, rebuild, and byte-integrity floor",blob-integrity,A-implementation-ready,A-implementation-ready,True,False,"leased-blob race fixture, blob-reference resolver report, SHA-256 restore/compression proof",artifacts/B-storage-rebuild-bytes/polylogue-60i5.md,False,True,True,False
73,0,polylogue-6il,2,task,open,devloop-integration --json --check consumed by devloop-review,polylogue-6il,,D-agent-context-coordination,"Agent context, memory, and coordination",agent-substrate,A-implementation-ready,A-implementation-ready,True,False,agent workflow catalog run and adoption telemetry report,artifacts/D-agent-context-coordination/polylogue-6il.md,False,False,False,False
74,0,polylogue-6wnh,2,task,open,Bound thread refresh cost for large Codex appends,polylogue-1xc,polylogue-1xc,B-storage-rebuild-bytes,"Storage, rebuild, and byte-integrity floor",storage-rebuild-scale,A-implementation-ready,A-implementation-ready,True,False,"large-corpus rebuild probe, blue-green generation swap proof, WAL/resource envelope report",artifacts/B-storage-rebuild-bytes/polylogue-6wnh.md,False,True,False,False
75,0,polylogue-83u.6,2,task,open,Attachment acquisition census by origin and byte volume,polylogue-83u,polylogue-83u,B-storage-rebuild-bytes,"Storage, rebuild, and byte-integrity floor",blob-integrity,A-implementation-ready,A-implementation-ready,True,False,"leased-blob race fixture, blob-reference resolver report, SHA-256 restore/compression proof",artifacts/B-storage-rebuild-bytes/polylogue-83u.6.md,False,True,False,False
