package_no,sha256,download_timestamp,conversation_id,conversation_title,mission,zip_bytes,uncompressed_bytes,member_count,dominant_content,largest_member,patch_count,touched_path_count,disposition,delivery_state,delivery_constraint_kind,primary_bead,final_owner,owner_state,direct_pr,direct_merge_commit,preserved_branch,current_master_evidence
11,e426074411b86da54e10b00bccd3c364cecf10cb35dbc14c55a30a00c7943514,20260716-024616,6a580976-03d0-83eb-af6a-eb745db5ac0c,Query discovery B,Make agent queries self-discovering and executable,65040,214385,16,patch,PATCHES/0001-feat-query-declare-executable-agent-discovery-regist.patch (80786 bytes),3,14,superseded_or_duplicate,superseded_or_duplicate,,polylogue-z9gh.3,polylogue-z9gh.3,polylogue-z9gh.3=open,,,,Semantic duplicate/alternative of 073651c8d9b3; same owner and no separate registry allowed.
12,ee58f7411a931d3920e5f57024fc0cca4d74bf7e2419918c87b3d6576157ab41,20260716-035502,6a581170-10cc-83eb-ba33-c7199fbe3d2f,Raw-authority repair,Raw-authority repair,15136,34022,9,design_docs_metadata,PATCHES/0001-fix-live-multi-session-authority.patch (8925 bytes),1,2,merged,merged,,polylogue-lkrc.4,polylogue-lkrc.4,polylogue-lkrc.4=closed,2923,81142d1dce7d8e896ef340783ab943cdf59143f6,,"PR #2923, merge 81142d1dce7d8e896ef340783ab943cdf59143f6."
13,2df5dc1c22e38166b08ff2fd9c7e609483ed61f19641dcc92c44e23c5d09ed80,20260716-035623,6a580da1-1854-83ed-acd3-aaf72bc35dc9,Selective action/delegation,Selective action/delegation,16777216,16774424,21,fixture_snapshot_archive,TESTS/synthetic-archive-fixture.sql (16745651 bytes),4,0,rejected,rejected,,polylogue-z9gh.1,polylogue-z9gh.1,polylogue-z9gh.1=open,,,,Patch was placeholder-heavy and did not establish a production execution route.
14,18dd421a9b9fb5e18aa9e48b39c588089d23f60407087ef89192a6ff3ac737ad,20260716-061242,6a582e7d,Query execution control,polylogue-z9gh.1 Make archive queries interruptible and resource-bounded,42915,151908,12,patch,PATCHES/0001-make-archive-queries-interruptible.patch (99353 bytes),1,7,incorporated_pending_delivery,awaiting_dependency,dependency_wait,polylogue-z9gh.1,polylogue-z9gh.1,polylogue-z9gh.1=open,,,,Current polylogue-z9gh.1 design names these as the authoritative execution primitives; master still has synchronous per-surface execution.
15,0d45bbbc8ddb44a4e1fdff499e0fe39f8c8cc8413e7cd308fca8a70d9b8ce78a,20260716-061307,6a583f80,Objective posture/resumability,Derive session resumability from evidence-bearing open obligations,75537,278346,30,patch,PATCHES/0004-test-objective-cover-projection-and-shared-consumers.patch (45957 bytes),4,17,incorporated_pending_delivery,awaiting_dependency,dependency_wait,polylogue-37t.23,polylogue-37t.23,polylogue-37t.23=open,,,,Current polylogue-37t.23 is open; insight/storage authority is not yet reconciled.
16,c33e83027957ab5819a5fd2585e9df1bfa049a913c3f4cebb1cc06c721f72e1a,20260716-061317,6a583fbd,ArchiveLocation identity,"polylogue-ovme.1: Land ArchiveLocation identity, resolution, and split-tier canaries",38811,128661,13,patch,PATCHES/0001-feat-storage-resolve-archive-tiers-through-typed-loc.patch (58345 bytes),2,8,incorporated_pending_delivery,awaiting_dependency,dependency_wait,polylogue-ovme.1,polylogue-ovme.1,polylogue-ovme.1=open,,,,Current polylogue-ovme.1 is open; deployment/index activation is expressly outside this mission.
17,1d287d6cd7c6e0f7496a03bf24f411e204f8efa873e773ff52bce237f0596fde,20260716-061322,6a58008f,Workload/resource receipts,Workload/resource receipts,74086,263846,31,patch,PATCHES/0002-feat-devtools-collect-bounded-Linux-workload-receipt.patch (109299 bytes),3,14,incorporated_pending_delivery,awaiting_dependency,dependency_wait,polylogue-1xc.14,polylogue-1xc.14,polylogue-1xc.14=open,,,,Current polylogue-1xc.14 is open and now has schema-derived workload-profile child polylogue-1xc.14.1.
18,cd7ab67ea3a1db513afbd22b061a166243dbd7168d2a9166b8a42f9395a688f5,20260716-061330,6a5837da,DeclarationSpec kernel,DeclarationSpec kernel,42603,125027,19,patch,PATCHES/0001-feat-declarations-add-typed-declaration-kernel.patch (36521 bytes),4,11,incorporated_pending_delivery,awaiting_dependency,dependency_wait,polylogue-o21.1,polylogue-o21.1,polylogue-o21.1=open,,,,Current polylogue-o21.1 is open and named prerequisite for downstream work.
19,6c79bd86766a8f1c9103890b7e833d162f49cf10be393a01aede20c150ad3725,20260716-061337,6a581929,Handoff incorporation workspaces,"Turn validated Sol Pro handoffs into durable receiver-authoritative intake, explicit cluster workspaces, independent verification, and normal publication work.",78162,253881,26,patch,PATCHES/0001-feat-capture-plan-durable-Sol-Pro-handoff-intake.patch (78324 bytes),3,11,research_incorporated,research_incorporated,,polylogue-yyvg.6,polylogue-yyvg.6,polylogue-yyvg.6=in_progress,,,,Current polylogue-yyvg.6 design explicitly keeps campaign orchestration outside the browser.
20,251332b72bd838ac5678e308fe96804935168255ff14ee71f0a9be835a7f7362,20260716-061344,6a5837a1,Durable schema change train,Durable schema change train,74760,274618,26,patch,PATCHES/0001-feat-storage-add-durable-change-train-lifecycle.patch (104932 bytes),6,5,incorporated_pending_delivery,awaiting_deployment,deployment_gate,polylogue-60i5.1,polylogue-60i5.1,polylogue-60i5.1=open,,,,Current polylogue-60i5.1 is open; PR #2931 deployment work is coordinator-owned and excluded.
21,cdc06754e7ce511fe85a12fe4a83c24f807dfb6429c9b3fcb4df334c487567f8,20260716-061355,6a58385b,OriginSpec separation,OriginSpec separation,62623,164624,23,design_docs_metadata,TESTS/verify_snapshot.py (23653 bytes),3,3,incorporated_pending_delivery,awaiting_dependency,dependency_wait,polylogue-2qx.1,polylogue-2qx.1,polylogue-2qx.1=open,,,,Current polylogue-2qx.1 is open and blocked by polylogue-o21.1.
22,7fa320242b2c6aa6a92e3eada4299e8355a8628eefc41cb4846327f1c6205080,20260716-061408,6a5830bc-0d94-83ed-8d4f-6136a748bc19,Extension mission control,Extension mission control,81240,287207,19,patch,PATCHES/0002-ambient-mission-control-phase.patch (206044 bytes),2,17,already_subsumed,already_subsumed,,polylogue-3v1,polylogue-3v1 / polylogue-ptx,polylogue-3v1=in_progress; polylogue-ptx=in_progress,,,,PR #2926 merge 54e8911b9e5cb8e7d53597f04417cf040d28fb4d and PR #2928 merge 165e6a03416a3db2cb75001d370dfd738bdd992b.
23,17d8a28e9c6a2ae7dbbf380b31f41e8b9c84d115b6bd690d6a4aa65b8c61384e,20260716-061418,6a5823b5-15f4-83ed-8432-768e9452b460,Named-source freshness implementation,Expose named-source freshness and excluded cursor degradation.,68247,223157,23,patch,PATCHES/0002-feat-archive-add-bounded-named-source-freshness-proj.patch (68084 bytes),4,9,merged,merged,,polylogue-1xc.13,polylogue-1xc.13,polylogue-1xc.13=in_progress,2924,b6c78adfcd666358307daf64ac97e8d695a8b854,,PR #2924 merge b6c78adfcd666358307daf64ac97e8d695a8b854.
24,3ca08cd43d04d66114ba5f44df64b73eab9ab4f31826ed87548a6d8b7de4393a,20260716-061424,6a57f545-56a0-83eb-b961-e81c7d030e70,Durable CaptureJobs,Durable CaptureJobs,8388608,8472997,26,design_docs_metadata,DESIGN/10-rollout-plan.md (8334818 bytes),3,9,incorporated_pending_delivery,preserved_draft_awaiting_reconciliation,preserved_draft_reconciliation,polylogue-06zm.1,polylogue-06zm.1,polylogue-06zm.1=closed,,,feature/integration/capture-job-authority,"Published preservation branch feature/integration/capture-job-authority (ba340c71a, 8ecc34ecc); current master only has opaque per-extension backfill mirrors. Fresh-master comparison found unsafe fallback account scope paired:<provider> in browser adapter, so it cannot prove exact-scope profile-loss adoption."
25,6b6f67183ddad2866a2ee6e349f55f5a603172140be1c494dd7976f5533614ee,20260716-061430,6a57f60c-1c74-83ed-81e0-94e1072a7eb0,Sinex publication convergence,Sinex publication convergence,67982,265112,17,patch,PATCHES/0003-supervised-publication-convergence.patch (76206 bytes),4,20,merged,merged,,polylogue-303r.2.1,polylogue-303r.2.1,polylogue-303r.2.1=closed,2925,36001d023b2cfe793cb19fdd7c42a87597356f48,,PR #2925 merge 36001d023b2cfe793cb19fdd7c42a87597356f48; deployment transport remains polylogue-303r.2.2/coordinator scope.
26,8fa6ec8272818731e5b62a5a6c9e936b0500834e179c7fd27c1eb0493a4b2a2b,20260716-061438,6a5823b5-15f4-83ed-8432-768e9452b460,Named-source freshness design,Named-source freshness design,2097152,2107998,18,fixture_snapshot_archive,TESTS/fixtures/excluded-growing.jsonl (2083481 bytes),2,0,superseded_or_duplicate,superseded_or_duplicate,,polylogue-1xc.13,polylogue-1xc.13,polylogue-1xc.13=in_progress,,,,Same conversation; canonical implementation merged as PR #2924.
27,85acc7ce2cffcf9bbd734511ec739376a909ae407986b974369e8344a44fa168,20260716-061444,6a582757-0bcc-83ed-99aa-b36f86a9ba50,Receiver pairing runtime identity,Receiver pairing runtime identity,8388608,8384417,12,fixture_snapshot_archive,TESTS/fixtures/receiver-pairing-preserved-drain.jsonl (8335266 bytes),1,0,research_incorporated,research_incorporated,,polylogue-jlme.5,polylogue-jlme.5,polylogue-jlme.5=open,,,,PR #2926/#2928 pairing work and polylogue-jlme.5 retain residual multi-profile proof.
28,76a1279fe519f73891a7266a3863b6675d86c41305255ca2dc0e952a6941baf7,20260716-070230,6a582014-0f04-83eb-a310-4034d9173e88,MutationTransaction,MutationTransaction,73232,266936,24,patch,PATCHES/0001-security-add-plan-bound-mutation-transaction-kernel.patch (86647 bytes),3,11,incorporated_pending_delivery,incorporated_design_awaiting_admission,admission_prerequisite,polylogue-kwsb.2,polylogue-kwsb.2,polylogue-kwsb.2=open,,,,Current polylogue-kwsb.2 remains open; no route census/current-master proof supports merging its stale patch.
