session_query_spec_field,public_input,canonical_semantics,daemon_split_fast_path,classification,minimum_differential_test,owning_bead
sample,sample,sample result semantics/exactness,not consumed,dropped,deterministic seeded sample policy,polylogue-4p1.1;polylogue-yeq.3;polylogue-z9gh.9.1
filter_has_tool_use,filter_has_tool_use / has_tool_use route alias,stats pushdown boolean,manual DSL/route alias merge,partial/manual alias risk,true/false and absent,polylogue-4p1.1;polylogue-yeq.3;polylogue-z9gh.9.1
filter_has_thinking,filter_has_thinking / has_thinking route alias,stats pushdown boolean,manual DSL/route alias merge,partial/manual alias risk,true/false and absent,polylogue-4p1.1;polylogue-yeq.3;polylogue-z9gh.9.1
filter_has_paste,filter_has_paste / has_paste_evidence route alias,paste-evidence boolean,manual DSL/route alias merge,partial/manual alias risk,true/false and absent,polylogue-4p1.1;polylogue-yeq.3;polylogue-z9gh.9.1
typed_only,typed_only,typed-message/session constraint,not forwarded,dropped,typed and untyped sessions,polylogue-4p1.1;polylogue-yeq.3;polylogue-z9gh.9.1
min_messages,min_messages,inclusive lower count bound; zero is meaningful,forwarded but zero erased by `or ... or None`,changed for zero,"0, 1, exact boundary",polylogue-4p1.1;polylogue-yeq.3;polylogue-z9gh.9.1
max_messages,max_messages,inclusive upper count bound; zero is meaningful,forwarded but zero erased by `or ... or None`,changed for zero,"0, 1, exact boundary",polylogue-4p1.1;polylogue-yeq.3;polylogue-z9gh.9.1
min_words,min_words,inclusive lower word bound; zero is meaningful,forwarded but zero erased by `or ... or None`,changed for zero,"0, 1, exact boundary",polylogue-4p1.1;polylogue-yeq.3;polylogue-z9gh.9.1
max_words,max_words,inclusive upper word bound; zero is meaningful,forwarded but zero erased by `or ... or None`,changed for zero,"0, 1, exact boundary",polylogue-4p1.1;polylogue-yeq.3;polylogue-z9gh.9.1
similar_text,similar_text,semantic/vector selection,route-built value not consumed; fast path lexical only,dropped,embedding-ready and not-ready cases,polylogue-4p1.1;polylogue-yeq.3;polylogue-z9gh.9.1
similar_session_id,similar_session_id,semantic neighbors of session,route-built value not consumed,dropped,known session and missing session,polylogue-4p1.1;polylogue-yeq.3;polylogue-z9gh.9.1
since_session_id,since_session_id,relative position/time boundary from another session,not consumed,dropped,anchor session boundary,polylogue-4p1.1;polylogue-yeq.3;polylogue-z9gh.9.1
message_type,message_type,message-type predicate,not forwarded,dropped,mixed message types,polylogue-4p1.1;polylogue-yeq.3;polylogue-z9gh.9.1
offset,offset,page offset,externally applied to ArchiveStore,supported but no stable cursor,page walk under insertion,polylogue-4p1.1;polylogue-yeq.3;polylogue-z9gh.9.1
cursor,cursor,opaque keyset continuation,read by route builder but raw params path never applies canonical cursor,dropped,second page from returned cursor,polylogue-4p1.1;polylogue-yeq.3;polylogue-z9gh.9.1
boolean_predicate,DSL boolean expression,structured predicate tree,compiled but not passed to ArchiveStore; flattened terms/selected fields only,dropped/changed,AND/OR/NOT grouping that differs from flattening,polylogue-4p1.1;polylogue-yeq.3;polylogue-z9gh.9.1
with_units,DSL `with <units>`,post-selection unit projection,not attached by either /api/sessions execution path,route-wide projection gap,request attached actions/messages and compare surfaces,polylogue-4p1.1;polylogue-yeq.3;polylogue-z9gh.9.1
with_unit_fields,DSL unit field allowlists,post-selection field projection,not attached,route-wide projection gap,field allowlist versus default payload,polylogue-4p1.1;polylogue-yeq.3;polylogue-z9gh.9.1
