lane,file,line,ctx,start,end,call,op,tables,sql,norm,params
async,polylogue/storage/sqlite/async_sqlite.py,555,SQLiteBackend.upsert_session_stats,524,600,execute,UPDATE,sessions,"""""""
                    UPDATE sessions
                    SET message_count = ?,
                        word_count = ?,
                        tool_use_count = ?,
                        thinking_count = ?,
                        paste_count = ?,
                        user_message_count = ?,
                        authored_user_message_count = ?,
                        assistant_message_count = ?,
                        system_message_count = ?,
                        tool_message_count = ?,
                        user_word_count = ?,
                        authored_user_word_count = ?,
                        assistant_word_count = ?
                    WHERE session_id = ? OR native_id = ?
                    """"""","UPDATE sessions SET message_count = ?, word_count = ?, tool_use_count = ?, thinking_count = ?, paste_count = ?, user_message_count = ?, authored_user_message_count = ?, assistant_message_count = ?, system_message_count = ?, tool_message_count = ?, user_word_count = ?, authored_user_word_count = ?, assistant_word_count = ? WHERE session_id = ? OR native_id = ?","(
                        message_count,
                        word_count,
                        tool_use_count,
                        thinking_count,
                        paste_count,
                        user_message_count,
                        authored_user_message_count,
                        assistant_message_count,
                        system_message_count,
                        tool_message_count,
                        user_word_count,
                        authored_user_word_count,
                        assistant_word_count,
                        session_id,
                        session_id,
                    )"
async,polylogue/storage/sqlite/async_sqlite.py,216,_backend_transaction,200,233,execute,DYNAMIC/OTHER,,"f""ROLLBACK TO SAVEPOINT {sp_name}""","f""ROLLBACK TO SAVEPOINT {sp_name}""",
async,polylogue/storage/sqlite/async_sqlite_raw.py,115,SQLiteRawMixin.save_raw_session,96,162,execute,PRAGMA,,"""PRAGMA foreign_keys = ON""",PRAGMA foreign_keys = ON,
async,polylogue/storage/sqlite/async_sqlite_raw.py,116,SQLiteRawMixin.save_raw_session,96,162,execute,SELECT,raw_sessions,"""SELECT 1 FROM raw_sessions WHERE raw_id = ?""",SELECT 1 FROM raw_sessions WHERE raw_id = ?,"(record.raw_id,)"
async,polylogue/storage/sqlite/async_sqlite_raw.py,118,SQLiteRawMixin.save_raw_session,96,162,execute,INSERT,raw_sessions,"""""""
                INSERT OR REPLACE INTO raw_sessions (
                    raw_id, origin, native_id, source_path, source_index, blob_hash,
                    blob_size, acquired_at_ms, file_mtime_ms, parsed_at_ms, parse_error,
                    validated_at_ms, validation_status, validation_error, validation_drift_count,
                    validation_mode, detection_warnings_json
                ) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
                """"""","INSERT OR REPLACE INTO raw_sessions ( raw_id, origin, native_id, source_path, source_index, blob_hash, blob_size, acquired_at_ms, file_mtime_ms, parsed_at_ms, parse_error, validated_at_ms, validation_status, validation_error, validation_drift_count, validation_mode, detection_warnings_json ) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)","(
                    record.raw_id,
                    origin.value,
                    None,
                    record.source_path,
                    int(record.source_index or 0),
                    blob_hash,
                    int(record.blob_size),
                    acquired_at_ms,
                    _timestamp_ms(record.file_mtime),
                    _timestamp_ms(record.parsed_at),
                    record.parse_error,
                    _timestamp_ms(record.validated_at),
                    record.validation_status.value if record.validation_status is not None else None,
                    record.validation_error,
                    int(record.validation_drift_count or 0),
                    record.validation_mode.value if record.validation_mode is not None else None,
                    record.detection_warnings or ""[]"",
                )"
async,polylogue/storage/sqlite/async_sqlite_raw.py,147,SQLiteRawMixin.save_raw_session,96,162,execute,INSERT,blob_refs,"""""""
                INSERT OR REPLACE INTO blob_refs (
                    blob_hash, ref_id, ref_type, source_path, size_bytes, acquired_at_ms
                ) VALUES (?, ?, 'raw_payload', ?, ?, ?)
                """"""","INSERT OR REPLACE INTO blob_refs ( blob_hash, ref_id, ref_type, source_path, size_bytes, acquired_at_ms ) VALUES (?, ?, 'raw_payload', ?, ?, ?)","(
                    blob_hash,
                    record.raw_id,
                    record.source_path,
                    int(record.blob_size),
                    acquired_at_ms,
                )"
async,polylogue/storage/sqlite/queries/_bulk_replace.py,57,replace_insight_rows,32,67,execute,DYNAMIC/OTHER,,"f""DELETE FROM {table} WHERE {id_column} IN ({placeholders})""","f""DELETE FROM {table} WHERE {id_column} IN ({placeholders})""",tuple(id_values)
async,polylogue/storage/sqlite/queries/_bulk_replace.py,62,replace_insight_rows,32,67,executemany,DYNAMIC/OTHER,,"build_insert_sql(table, columns, or_replace=or_replace)","build_insert_sql(table, columns, or_replace=or_replace)",[extractor(record) for record in records]
async,polylogue/storage/sqlite/queries/artifacts.py,104,save_artifact_observation,98,113,execute,SELECT,raw_artifacts,"""SELECT 1 FROM raw_artifacts WHERE artifact_id = ?""",SELECT 1 FROM raw_artifacts WHERE artifact_id = ?,"(record.observation_id,)"
async,polylogue/storage/sqlite/queries/artifacts.py,110,save_artifact_observation,98,113,execute,DYNAMIC/OTHER,,RAW_ARTIFACT_UPSERT_SQL,RAW_ARTIFACT_UPSERT_SQL,artifact_observation_params(record)
async,polylogue/storage/sqlite/queries/attachment_blocks.py,40,get_blocks,11,49,execute,DYNAMIC/OTHER,,table_query.format(placeholders=placeholders),table_query.format(placeholders=placeholders),batch
async,polylogue/storage/sqlite/queries/attachment_mutations.py,50,prune_attachments,8,65,execute,DYNAMIC/OTHER,attachment_refs;attachments,"f""""""
        UPDATE attachments
        SET ref_count = (
            SELECT COUNT(*)
            FROM attachment_refs
            WHERE attachment_refs.attachment_id = attachments.attachment_id
        )
        WHERE attachment_id IN ({aid_placeholders})
        """"""","f"""""" UPDATE attachments SET ref_count = ( SELECT COUNT(*) FROM attachment_refs WHERE attachment_refs.attachment_id = attachments.attachment_id ) WHERE attachment_id IN ({aid_placeholders}) """"""",tuple(aids_list)
async,polylogue/storage/sqlite/queries/attachment_mutations.py,62,prune_attachments,8,65,execute,DELETE,attachments,"""DELETE FROM attachments WHERE ref_count <= 0""",DELETE FROM attachments WHERE ref_count <= 0,
async,polylogue/storage/sqlite/queries/attachment_mutations.py,17,prune_attachments,8,65,execute,DYNAMIC/OTHER,attachment_refs,"f""""""
            SELECT attachment_id FROM attachment_refs
            WHERE session_id = ? AND attachment_id NOT IN ({placeholders})
            """"""","f"""""" SELECT attachment_id FROM attachment_refs WHERE session_id = ? AND attachment_id NOT IN ({placeholders}) """"""","(session_id, *keep_attachment_ids)"
async,polylogue/storage/sqlite/queries/attachment_mutations.py,26,prune_attachments,8,65,execute,SELECT,attachment_refs,"""SELECT attachment_id FROM attachment_refs WHERE session_id = ?""",SELECT attachment_id FROM attachment_refs WHERE session_id = ?,"(session_id,)"
async,polylogue/storage/sqlite/queries/attachment_mutations.py,38,prune_attachments,8,65,execute,DYNAMIC/OTHER,attachment_refs,"f""DELETE FROM attachment_refs WHERE session_id = ? AND attachment_id NOT IN ({placeholders})""","f""DELETE FROM attachment_refs WHERE session_id = ? AND attachment_id NOT IN ({placeholders})""","(session_id, *keep_attachment_ids)"
async,polylogue/storage/sqlite/queries/attachment_mutations.py,43,prune_attachments,8,65,execute,DELETE,attachment_refs,"""DELETE FROM attachment_refs WHERE session_id = ?""",DELETE FROM attachment_refs WHERE session_id = ?,"(session_id,)"
async,polylogue/storage/sqlite/queries/attachment_records.py,48,get_attachments,43,82,execute,SELECT,attachment_native_ids;attachment_refs;attachments,"""""""
        SELECT
            a.attachment_id,
            a.media_type AS mime_type,
            a.byte_count AS size_bytes,
            COALESCE(r.source_url, a.display_name) AS path,
            a.display_name,
            r.source_url,
            r.caption,
            r.message_id,
            r.upload_origin,
            (
                SELECT native_id FROM attachment_native_ids ani
                WHERE ani.ref_id = r.ref_id AND ani.id_kind = 'attachment'
                ORDER BY native_id LIMIT 1
            ) AS attachment_native_id,
            (
                SELECT native_id FROM attachment_native_ids ani
                WHERE ani.ref_id = r.ref_id AND ani.id_kind = 'file'
                ORDER BY native_id LIMIT 1
            ) AS file_native_id,
            (
                SELECT native_id FROM attachment_native_ids ani
                WHERE ani.ref_id = r.ref_id AND ani.id_kind = 'drive'
                ORDER BY native_id LIMIT 1
            ) AS drive_native_id
        FROM attachments a
        JOIN attachment_refs r ON a.attachment_id = r.attachment_id
        WHERE r.session_id = ?
        """"""","SELECT a.attachment_id, a.media_type AS mime_type, a.byte_count AS size_bytes, COALESCE(r.source_url, a.display_name) AS path, a.display_name, r.source_url, r.caption, r.message_id, r.upload_origin, ( SELECT native_id FROM attachment_native_ids ani WHERE ani.ref_id = r.ref_id AND ani.id_kind = 'attachment' ORDER BY native_id LIMIT 1 ) AS attachment_native_id, ( SELECT native_id FROM attachment_native_ids ani WHERE ani.ref_id = r.ref_id AND ani.id_kind = 'file' ORDER BY native_id LIMIT 1 ) AS file_native_id, ( SELECT native_id FROM attachment_native_ids ani WHERE ani.ref_id = r.ref_id AND ani.id_kind = 'drive' ORDER BY native_id LIMIT 1 ) AS drive_native_id FROM attachments a JOIN attachment_refs r ON a.attachment_id = r.attachment_id WHERE r.session_id = ?","(session_id,)"
async,polylogue/storage/sqlite/queries/attachment_records.py,94,get_attachments_batch,85,133,execute,DYNAMIC/OTHER,attachment_native_ids;attachment_refs;attachments,"f""""""
        SELECT
            a.attachment_id,
            a.media_type AS mime_type,
            a.byte_count AS size_bytes,
            COALESCE(r.source_url, a.display_name) AS path,
            a.display_name,
            r.source_url,
            r.caption,
            r.message_id,
            r.session_id,
            r.upload_origin,
            (
                SELECT native_id FROM attachment_native_ids ani
                WHERE ani.ref_id = r.ref_id AND ani.id_kind = 'attachment'
                ORDER BY native_id LIMIT 1
            ) AS attachment_native_id,
            (
                SELECT native_id FROM attachment_native_ids ani
                WHERE ani.ref_id = r.ref_id AND ani.id_kind = 'file'
                ORDER BY native_id LIMIT 1
            ) AS file_native_id,
            (
                SELECT native_id FROM attachment_native_ids ani
                WHERE ani.ref_id = r.ref_id AND ani.id_kind = 'drive'
                ORDER BY native_id LIMIT 1
            ) AS drive_native_id
        FROM attachments a
        JOIN attachment_refs r ON a.attachment_id = r.attachment_id
        WHERE r.session_id IN ({placeholders})
        """"""","f"""""" SELECT a.attachment_id, a.media_type AS mime_type, a.byte_count AS size_bytes, COALESCE(r.source_url, a.display_name) AS path, a.display_name, r.source_url, r.caption, r.message_id, r.session_id, r.upload_origin, ( SELECT native_id FROM attachment_native_ids ani WHERE ani.ref_id = r.ref_id AND ani.id_kind = 'attachment' ORDER BY native_id LIMIT 1 ) AS attachment_native_id, ( SELECT native_id FROM attachment_native_ids ani WHERE ani.ref_id = r.ref_id AND ani.id_kind = 'file' ORDER BY native_id LIMIT 1 ) AS file_native_id, ( SELECT native_id FROM attachment_native_ids ani WHERE ani.ref_id = r.ref_id AND ani.id_kind = 'drive' ORDER BY native_id LIMIT 1 ) AS drive_native_id FROM attachments a JOIN attachment_refs r ON a.attachment_id = r.attachment_id WHERE r.session_id IN ({placeholders}) """"""",session_ids
async,polylogue/storage/sqlite/queries/attachment_records.py,251,search_attachment_identity_evidence_hits,172,267,execute,DYNAMIC/OTHER,,sql,sql,params
async,polylogue/storage/sqlite/queries/cursor.py,27,get_known_source_cursors,22,45,execute,SELECT,ingest_cursor,"""SELECT source_path, st_dev, st_ino, stat_size, mtime_ns FROM ingest_cursor""","SELECT source_path, st_dev, st_ino, stat_size, mtime_ns FROM ingest_cursor",
async,polylogue/storage/sqlite/queries/cursor.py,59,upsert_source_file_cursor,48,73,execute,INSERT,ingest_cursor;set,"""""""
        INSERT INTO ingest_cursor (source_path, st_dev, st_ino, stat_size, mtime_ns, updated_at_ms)
        VALUES (?, ?, ?, ?, ?, ?)
        ON CONFLICT(source_path) DO UPDATE SET
            st_dev = COALESCE(EXCLUDED.st_dev, ingest_cursor.st_dev),
            st_ino = COALESCE(EXCLUDED.st_ino, ingest_cursor.st_ino),
            stat_size = COALESCE(EXCLUDED.stat_size, ingest_cursor.stat_size),
            mtime_ns = COALESCE(EXCLUDED.mtime_ns, ingest_cursor.mtime_ns),
            updated_at_ms = EXCLUDED.updated_at_ms
        """"""","INSERT INTO ingest_cursor (source_path, st_dev, st_ino, stat_size, mtime_ns, updated_at_ms) VALUES (?, ?, ?, ?, ?, ?) ON CONFLICT(source_path) DO UPDATE SET st_dev = COALESCE(EXCLUDED.st_dev, ingest_cursor.st_dev), st_ino = COALESCE(EXCLUDED.st_ino, ingest_cursor.st_ino), stat_size = COALESCE(EXCLUDED.stat_size, ingest_cursor.stat_size), mtime_ns = COALESCE(EXCLUDED.mtime_ns, ingest_cursor.mtime_ns), updated_at_ms = EXCLUDED.updated_at_ms","(source_path, st_dev, st_ino, st_size, mtime_ns, _now_ms())"
async,polylogue/storage/sqlite/queries/message_query_reads.py,52,_resolve_session_id,51,56,execute,SELECT,sessions,"""SELECT session_id FROM sessions WHERE session_id = ? OR native_id = ? LIMIT 1""",SELECT session_id FROM sessions WHERE session_id = ? OR native_id = ? LIMIT 1,"(session_id, session_id)"
async,polylogue/storage/sqlite/queries/message_query_reads.py,69,_prefix_sharing_edge,65,84,execute,SELECT,session_links,"""""""
        SELECT resolved_dst_session_id, branch_point_message_id
        FROM session_links
        WHERE src_session_id = ?
          AND inheritance = 'prefix-sharing'
          AND resolved_dst_session_id IS NOT NULL
          AND branch_point_message_id IS NOT NULL
        LIMIT 1
        """"""","SELECT resolved_dst_session_id, branch_point_message_id FROM session_links WHERE src_session_id = ? AND inheritance = 'prefix-sharing' AND resolved_dst_session_id IS NOT NULL AND branch_point_message_id IS NOT NULL LIMIT 1","(session_id,)"
async,polylogue/storage/sqlite/queries/message_query_reads.py,97,_own_messages,87,108,execute,DYNAMIC/OTHER,messages;sessions,"f""""""
        SELECT {_MESSAGE_RECORD_SELECT}
        FROM messages m
        JOIN sessions s ON s.session_id = m.session_id
        WHERE m.session_id = ?
        ORDER BY {order_by}
        """"""","f"""""" SELECT {_MESSAGE_RECORD_SELECT} FROM messages m JOIN sessions s ON s.session_id = m.session_id WHERE m.session_id = ? ORDER BY {order_by} """"""","(session_id,)"
async,polylogue/storage/sqlite/queries/message_query_reads.py,343,get_messages_paginated,292,355,execute,DYNAMIC/OTHER,,count_query,count_query,tuple(params)
async,polylogue/storage/sqlite/queries/message_query_reads.py,351,get_messages_paginated,292,355,execute,DYNAMIC/OTHER,,query,query,tuple(params)
async,polylogue/storage/sqlite/queries/message_query_reads.py,417,get_message_edge_windows,358,451,execute,DYNAMIC/OTHER,messages,"f""SELECT COUNT(*) FROM messages INDEXED BY idx_messages_session_position {count_where}""","f""SELECT COUNT(*) FROM messages INDEXED BY idx_messages_session_position {count_where}""",tuple(count_params)
async,polylogue/storage/sqlite/queries/message_query_reads.py,424,get_message_edge_windows,358,451,execute,DYNAMIC/OTHER,messages;sessions,"f""""""
        SELECT {_MESSAGE_RECORD_SELECT}
        FROM messages m
        JOIN sessions s ON s.session_id = m.session_id
        {where}
        ORDER BY m.position, m.variant_index, m.message_id
        LIMIT ?
        """"""","f"""""" SELECT {_MESSAGE_RECORD_SELECT} FROM messages m JOIN sessions s ON s.session_id = m.session_id {where} ORDER BY m.position, m.variant_index, m.message_id LIMIT ? """"""","(*params, edge_limit)"
async,polylogue/storage/sqlite/queries/message_query_reads.py,438,get_message_edge_windows,358,451,execute,DYNAMIC/OTHER,messages;sessions,"f""""""
        SELECT {_MESSAGE_RECORD_SELECT}
        FROM messages m
        JOIN sessions s ON s.session_id = m.session_id
        {where}
        ORDER BY m.position DESC, m.variant_index DESC, m.message_id DESC
        LIMIT ?
        """"""","f"""""" SELECT {_MESSAGE_RECORD_SELECT} FROM messages m JOIN sessions s ON s.session_id = m.session_id {where} ORDER BY m.position DESC, m.variant_index DESC, m.message_id DESC LIMIT ? """"""","(*params, edge_limit)"
async,polylogue/storage/sqlite/queries/message_query_reads.py,259,get_messages_batch,211,289,execute,DYNAMIC/OTHER,,query,query,tuple(params)
async,polylogue/storage/sqlite/queries/message_query_reads.py,546,iter_messages,454,564,execute,DYNAMIC/OTHER,,query,query,tuple(params)
async,polylogue/storage/sqlite/queries/message_query_stats.py,15,get_session_stats,14,46,execute,SELECT,messages,"""SELECT COUNT(*) as cnt FROM messages WHERE session_id = ?""",SELECT COUNT(*) as cnt FROM messages WHERE session_id = ?,"(session_id,)"
async,polylogue/storage/sqlite/queries/message_query_stats.py,22,get_session_stats,14,46,execute,SELECT,messages,"""SELECT COUNT(*) as cnt FROM messages WHERE session_id = ? AND role IN ('user', 'assistant', 'human')""","SELECT COUNT(*) as cnt FROM messages WHERE session_id = ? AND role IN ('user', 'assistant', 'human')","(session_id,)"
async,polylogue/storage/sqlite/queries/message_query_stats.py,29,get_session_stats,14,46,execute,SELECT,messages,"""""""
        SELECT role, COUNT(*) as cnt
        FROM messages
        WHERE session_id = ?
        GROUP BY role
        """"""","SELECT role, COUNT(*) as cnt FROM messages WHERE session_id = ? GROUP BY role","(session_id,)"
async,polylogue/storage/sqlite/queries/message_query_stats.py,53,get_message_counts_batch,49,63,execute,DYNAMIC/OTHER,messages,"f""""""
        SELECT session_id, COUNT(*) as cnt
        FROM messages
        WHERE session_id IN ({placeholders})
        GROUP BY session_id
        """"""","f"""""" SELECT session_id, COUNT(*) as cnt FROM messages WHERE session_id IN ({placeholders}) GROUP BY session_id """"""",session_ids
async,polylogue/storage/sqlite/queries/raw_reads.py,116,iter_raw_ids,99,122,execute,DYNAMIC/OTHER,,sql,sql,params
async,polylogue/storage/sqlite/queries/raw_reads.py,142,iter_raw_headers,125,148,execute,DYNAMIC/OTHER,,sql,sql,params
async,polylogue/storage/sqlite/queries/raw_reads.py,152,get_raw_session,151,159,execute,SELECT,raw_sessions,"""SELECT * FROM raw_sessions WHERE raw_id = ?""",SELECT * FROM raw_sessions WHERE raw_id = ?,"(raw_id,)"
async,polylogue/storage/sqlite/queries/raw_reads.py,164,get_known_source_mtimes,162,173,execute,SELECT,raw_sessions,"""SELECT source_path, file_mtime_ms FROM raw_sessions WHERE file_mtime_ms IS NOT NULL""","SELECT source_path, file_mtime_ms FROM raw_sessions WHERE file_mtime_ms IS NOT NULL",
async,polylogue/storage/sqlite/queries/raw_reads.py,180,get_raw_sessions_batch,176,191,execute,DYNAMIC/OTHER,raw_sessions,"f""SELECT * FROM raw_sessions WHERE raw_id IN ({placeholders})""","f""SELECT * FROM raw_sessions WHERE raw_id IN ({placeholders})""",raw_ids
async,polylogue/storage/sqlite/queries/raw_reads.py,201,get_raw_blob_sizes,194,206,execute,DYNAMIC/OTHER,raw_sessions,"f""SELECT raw_id, blob_size FROM raw_sessions WHERE raw_id IN ({placeholders})""","f""SELECT raw_id, blob_size FROM raw_sessions WHERE raw_id IN ({placeholders})""",tuple(raw_ids)
async,polylogue/storage/sqlite/queries/raw_reads.py,213,get_raw_session_states,209,242,execute,DYNAMIC/OTHER,raw_sessions,"f""""""
        SELECT
            raw_id,
            origin,
            source_path,
            parsed_at_ms,
            parse_error,
            validation_status
        FROM raw_sessions
        WHERE raw_id IN ({placeholders})
        """"""","f"""""" SELECT raw_id, origin, source_path, parsed_at_ms, parse_error, validation_status FROM raw_sessions WHERE raw_id IN ({placeholders}) """"""",raw_ids
async,polylogue/storage/sqlite/queries/raw_reads.py,291,get_raw_records_for_session,278,313,execute,SELECT,sessions,"""SELECT raw_id FROM sessions WHERE session_id = ?""",SELECT raw_id FROM sessions WHERE session_id = ?,"(session_id,)"
async,polylogue/storage/sqlite/queries/raw_reads.py,301,get_raw_records_for_session,278,313,execute,SELECT,raw_sessions,"""SELECT COUNT(*) as cnt FROM raw_sessions WHERE raw_id = ?""",SELECT COUNT(*) as cnt FROM raw_sessions WHERE raw_id = ?,"(raw_id,)"
async,polylogue/storage/sqlite/queries/raw_reads.py,308,get_raw_records_for_session,278,313,execute,SELECT,raw_sessions,"""SELECT * FROM raw_sessions WHERE raw_id = ? ORDER BY acquired_at_ms DESC, raw_id ASC LIMIT ? OFFSET ?""","SELECT * FROM raw_sessions WHERE raw_id = ? ORDER BY acquired_at_ms DESC, raw_id ASC LIMIT ? OFFSET ?","(raw_id, limit, offset)"
async,polylogue/storage/sqlite/queries/raw_reads.py,322,get_raw_session_count,316,324,execute,DYNAMIC/OTHER,,query,query,params
async,polylogue/storage/sqlite/queries/raw_reads.py,264,iter_raw_sessions,245,275,execute,DYNAMIC/OTHER,,query_with_limit,query_with_limit,tuple(params)
async,polylogue/storage/sqlite/queries/raw_state.py,114,apply_raw_state_update,49,119,execute,DYNAMIC/OTHER,raw_sessions,"f""UPDATE raw_sessions SET {', '.join(set_clauses)} WHERE raw_id = ?""","f""UPDATE raw_sessions SET {', '.join(set_clauses)} WHERE raw_id = ?""",tuple(params)
async,polylogue/storage/sqlite/queries/raw_state.py,211,reset_parse_status,192,217,execute,DYNAMIC/OTHER,raw_sessions,"f""UPDATE raw_sessions SET parsed_at_ms = NULL, parse_error = NULL WHERE {' AND '.join(where_clauses)}""","f""UPDATE raw_sessions SET parsed_at_ms = NULL, parse_error = NULL WHERE {' AND '.join(where_clauses)}""",tuple(params)
async,polylogue/storage/sqlite/queries/raw_state.py,239,reset_validation_status,220,248,execute,DYNAMIC/OTHER,raw_sessions,"""UPDATE raw_sessions ""
        ""SET validated_at_ms = NULL, validation_status = NULL, validation_error = NULL, ""
        ""validation_drift_count = 0, validation_mode = NULL ""
        f""WHERE {' AND '.join(where_clauses)}""","""UPDATE raw_sessions "" ""SET validated_at_ms = NULL, validation_status = NULL, validation_error = NULL, "" ""validation_drift_count = 0, validation_mode = NULL "" f""WHERE {' AND '.join(where_clauses)}""",tuple(params)
async,polylogue/storage/sqlite/queries/raw_writes.py,35,save_raw_session,15,76,execute,INSERT,raw_sessions,"""""""
        INSERT OR IGNORE INTO raw_sessions (
            raw_id, origin, native_id, source_path, source_index, blob_hash,
            blob_size, acquired_at_ms, file_mtime_ms, parsed_at_ms, parse_error,
            validated_at_ms, validation_status, validation_error, validation_drift_count,
            validation_mode, detection_warnings_json
        ) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
        """"""","INSERT OR IGNORE INTO raw_sessions ( raw_id, origin, native_id, source_path, source_index, blob_hash, blob_size, acquired_at_ms, file_mtime_ms, parsed_at_ms, parse_error, validated_at_ms, validation_status, validation_error, validation_drift_count, validation_mode, detection_warnings_json ) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)","(
            record.raw_id,
            origin.value,
            None,
            record.source_path,
            int(record.source_index or 0),
            blob_hash,
            int(record.blob_size),
            acquired_at_ms,
            _timestamp_ms(record.file_mtime),
            _timestamp_ms(record.parsed_at),
            record.parse_error,
            _timestamp_ms(record.validated_at),
            record.validation_status.value if record.validation_status is not None else None,
            record.validation_error,
            int(record.validation_drift_count or 0),
            record.validation_mode.value if record.validation_mode is not None else None,
            record.detection_warnings or ""[]"",
        )"
async,polylogue/storage/sqlite/queries/raw_writes.py,68,save_raw_session,15,76,execute,DYNAMIC/OTHER,raw_sessions,"""UPDATE raw_sessions SET file_mtime_ms = ?, source_path = ? ""
            ""WHERE raw_id = ? AND (file_mtime_ms IS NOT ? OR source_path IS NOT ?)""","""UPDATE raw_sessions SET file_mtime_ms = ?, source_path = ? "" ""WHERE raw_id = ? AND (file_mtime_ms IS NOT ? OR source_path IS NOT ?)""","(file_mtime_ms, record.source_path, record.raw_id, file_mtime_ms, record.source_path)"
async,polylogue/storage/sqlite/queries/session_events.py,94,sync_session_events_batch,87,110,execute,DYNAMIC/OTHER,session_events;sessions,"f""""""
        SELECT se.*, s.origin
        FROM session_events se
        JOIN sessions s ON s.session_id = se.session_id
        WHERE se.session_id IN ({placeholders})
        ORDER BY se.session_id, se.position
        """"""","f"""""" SELECT se.*, s.origin FROM session_events se JOIN sessions s ON s.session_id = se.session_id WHERE se.session_id IN ({placeholders}) ORDER BY se.session_id, se.position """"""",tuple(session_ids)
async,polylogue/storage/sqlite/queries/session_events.py,145,sync_session_event_compaction_counts,138,158,execute,DYNAMIC/OTHER,session_events,"f""""""
        SELECT session_id, COUNT(*) AS compaction_count
        FROM session_events
        WHERE session_id IN ({placeholders})
          AND event_type = 'compaction'
        GROUP BY session_id
        """"""","f"""""" SELECT session_id, COUNT(*) AS compaction_count FROM session_events WHERE session_id IN ({placeholders}) AND event_type = 'compaction' GROUP BY session_id """"""",tuple(session_ids)
async,polylogue/storage/sqlite/queries/session_events.py,45,get_session_events,40,56,execute,SELECT,session_events;sessions,"""""""
            SELECT se.*, s.origin
            FROM session_events se
            JOIN sessions s ON s.session_id = se.session_id
            WHERE se.session_id = ?
            ORDER BY se.position
            """"""","SELECT se.*, s.origin FROM session_events se JOIN sessions s ON s.session_id = se.session_id WHERE se.session_id = ? ORDER BY se.position","(session_id,)"
async,polylogue/storage/sqlite/queries/session_events.py,67,get_session_events_batch,59,84,execute,DYNAMIC/OTHER,session_events;sessions,"f""""""
            SELECT se.*, s.origin
            FROM session_events se
            JOIN sessions s ON s.session_id = se.session_id
            WHERE se.session_id IN ({placeholders})
            ORDER BY se.session_id, se.position
            """"""","f"""""" SELECT se.*, s.origin FROM session_events se JOIN sessions s ON s.session_id = se.session_id WHERE se.session_id IN ({placeholders}) ORDER BY se.session_id, se.position """"""",tuple(session_ids)
